Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
GOOGL,122.8994,122.9,200,122.89,200,10527558,2023-05-30T14:12:41Z
GOOGL,122.89,122.89,,122.88,500,10528266,2023-05-30T14:12:42Z
GOOGL,122.9,122.91,,122.9,100,10529343,2023-05-30T14:12:43Z
GOOGL,122.865,122.87,100,122.86,,10531663,2023-05-30T14:12:44Z
GOOGL,122.86,,300,,,10532844,2023-05-30T14:12:45Z
GOOGL,,122.86,100,122.85,,10534595,2023-05-30T14:12:46Z
GOOGL,122.87,122.89,500,122.88,,10535625,2023-05-30T14:12:47Z
GOOGL,122.872,,400,122.87,200,10535855,2023-05-30T14:12:48Z
GOOGL,122.87,,300,122.88,100,10537241,2023-05-30T14:12:49Z
GOOGL,122.88,122.88,200,122.87,,10539410,2023-05-30T14:12:50Z
GOOGL,122.87,,,,200,10540283,2023-05-30T14:12:51Z
GOOGL,122.88,122.89,,122.88,,10540788,2023-05-30T14:12:52Z
GOOGL,122.89,122.91,300,122.89,500,10542355,2023-05-30T14:12:53Z
GOOGL,,122.9,,,200,10542390,
GOOGL,,122.89,,122.88,100,10542710,2023-05-30T14:12:55Z
GOOGL,,,400,,,10542728,
GOOGL,,,,,,10542738,
GOOGL,122.885,,,,,10543189,2023-05-30T14:12:58Z
GOOGL,122.88,,,,,10544786,2023-05-30T14:12:59Z
GOOGL,122.92,122.93,200,122.92,200,10548464,2023-05-30T14:13:00Z
GOOGL,122.97,122.97,500,122.96,100,10551458,2023-05-30T14:13:01Z
GOOGL,122.94,122.96,300,122.94,,10552045,2023-05-30T14:13:02Z
GOOGL,122.96,122.98,,122.97,,10552409,2023-05-30T14:13:03Z
GOOGL,123,123,400,122.99,,10555626,2023-05-30T14:13:04Z
GOOGL,122.985,122.99,200,122.98,,10556900,2023-05-30T14:13:05Z
GOOGL,122.95,122.96,100,122.95,,10557280,2023-05-30T14:13:06Z
GOOGL,122.97,122.99,200,122.98,200,10557542,2023-05-30T14:13:07Z
GOOGL,122.98,,100,,300,10558320,2023-05-30T14:13:08Z
GOOGL,,,,,100,10558339,
GOOGL,122.96,122.97,300,122.96,,10559682,2023-05-30T14:13:10Z
GOOGL,122.965,,500,,,10560398,2023-05-30T14:13:11Z
GOOGL,122.96,,400,122.95,400,10560967,2023-05-30T14:13:12Z
GOOGL,122.9699,122.96,300,,600,10561098,2023-05-30T14:13:13Z
GOOGL,122.95,122.95,100,122.94,300,10562442,2023-05-30T14:13:14Z
GOOGL,,122.96,2200,,,10563066,2023-05-30T14:13:15Z
GOOGL,,122.95,200,,,10563129,
GOOGL,122.94,122.94,100,122.93,200,10564854,2023-05-30T14:13:17Z
