{'Time': '2023-07-24T13:42:00Z', 'BUY': 258.03, 'SELL': 257.84}
{'Time': '2023-07-24T13:42:10Z', 'SELL': 257.59, 'BUY': 257.69}
{'Time': '2023-07-24T13:42:20Z', 'BUY': 257.53, 'SELL': 257.4}
{'Time': '2023-07-24T13:42:30Z', 'SELL': 257.67, 'BUY': 257.78}
{'Time': '2023-07-24T13:42:40Z', 'BUY': 257.73, 'SELL': 257.64}
{'Time': '2023-07-24T13:42:50Z', 'BUY': 257.86, 'SELL': 257.77}
{'Time': '2023-07-24T13:43:00Z', 'BUY': 258.29, 'SELL': 258.17}
{'Time': '2023-07-24T13:43:10Z', 'BUY': 257.94, 'SELL': 257.85}
{'Time': '2023-07-24T13:43:20Z', 'SELL': 257.63, 'BUY': 257.75}
{'Time': '2023-07-24T13:43:30Z', 'BUY': 257.64, 'SELL': 257.57}
{'Time': '2023-07-24T13:43:40Z', 'BUY': 257.8, 'SELL': 257.74}
{'Time': '2023-07-24T13:43:50Z', 'SELL': 258.07, 'BUY': 258.18}
{'Time': '2023-07-24T13:44:00Z', 'SELL': 258.32, 'BUY': 258.38}
{'Time': '2023-07-24T13:44:10Z', 'BUY': 258.15, 'SELL': 258.07}
{'Time': '2023-07-24T13:44:20Z', 'SELL': 258.37, 'BUY': 258.46}
{'Time': '2023-07-24T13:44:30Z', 'SELL': 258.35, 'BUY': 258.49}
{'Time': '2023-07-24T13:44:40Z', 'BUY': 258.49, 'SELL': 258.41}
{'Time': '2023-07-24T13:44:50Z', 'SELL': 258.92, 'BUY': 258.98}
{'Time': '2023-07-24T13:45:00Z', 'BUY': 258.86, 'SELL': 258.67}
{'Time': '2023-07-24T13:45:10Z', 'SELL': 258.81, 'BUY': 258.88}
{'Time': '2023-07-24T13:45:20Z', 'SELL': 258.72, 'BUY': 258.81}
{'Time': '2023-07-24T13:45:30Z', 'SELL': 258.65, 'BUY': 258.73}
{'Time': '2023-07-24T13:45:40Z', 'BUY': 258.57, 'SELL': 258.53}
{'Time': '2023-07-24T13:45:50Z', 'SELL': 258.44, 'BUY': 258.5}
{'Time': '2023-07-24T13:46:00Z', 'BUY': 258.32, 'SELL': 258.26}
{'Time': '2023-07-24T13:46:10Z', 'SELL': 258.15, 'BUY': 258.23}
{'Time': '2023-07-24T13:46:20Z', 'BUY': 258.3, 'SELL': 258.19}
{'Time': '2023-07-24T13:46:30Z', 'SELL': 258.29, 'BUY': 258.38}
{'Time': '2023-07-24T13:46:40Z', 'BUY': 258.56, 'SELL': 258.48}
{'Time': '2023-07-24T13:46:50Z', 'SELL': 257.78, 'BUY': 257.88}
{'Time': '2023-07-24T13:47:00Z', 'SELL': 257.91, 'BUY': 258.0}
{'Time': '2023-07-24T13:47:10Z', 'SELL': 257.78, 'BUY': 257.86}
{'Time': '2023-07-24T13:47:20Z', 'BUY': 257.35, 'SELL': 257.29}
{'Time': '2023-07-24T13:47:30Z', 'SELL': 257.57, 'BUY': 257.69}
{'Time': '2023-07-24T13:47:40Z', 'BUY': 257.79, 'SELL': 257.69}
{'Time': '2023-07-24T13:47:50Z', 'SELL': 257.64, 'BUY': 257.73}
{'Time': '2023-07-24T13:48:00Z', 'SELL': 257.78, 'BUY': 257.89}
{'Time': '2023-07-24T13:48:10Z', 'BUY': 257.78, 'SELL': 257.72}
{'Time': '2023-07-24T13:48:20Z', 'BUY': 257.98, 'SELL': 257.92}
{'Time': '2023-07-24T13:48:30Z', 'BUY': 258.05, 'SELL': 258.0}
{'Time': '2023-07-24T13:48:40Z', 'BUY': 258.06, 'SELL': 258.03}
{'Time': '2023-07-24T13:48:50Z', 'BUY': 257.52, 'SELL': 257.42}
{'Time': '2023-07-24T13:49:00Z', 'BUY': 257.0, 'SELL': 256.94}
{'Time': '2023-07-24T13:49:10Z', 'SELL': 256.86, 'BUY': 256.93}
{'Time': '2023-07-24T13:49:20Z', 'BUY': 257.23, 'SELL': 257.15}
{'Time': '2023-07-24T13:49:30Z', 'SELL': 257.17, 'BUY': 257.27}
{'Time': '2023-07-24T13:49:40Z', 'BUY': 257.33, 'SELL': 257.27}
{'Time': '2023-07-24T13:49:50Z', 'SELL': 257.73, 'BUY': 257.79}
{'Time': '2023-07-24T13:50:00Z', 'SELL': 257.59, 'BUY': 257.65}
{'Time': '2023-07-24T13:50:10Z', 'BUY': 257.78, 'SELL': 257.71}
{'Time': '2023-07-24T13:50:20Z', 'BUY': 258.15, 'SELL': 258.06}
{'Time': '2023-07-24T13:50:30Z', 'SELL': 258.01, 'BUY': 257.97}
{'Time': '2023-07-24T13:50:40Z', 'SELL': 258.11, 'BUY': 258.17}
{'Time': '2023-07-24T13:50:50Z', 'SELL': 258.32, 'BUY': 258.35}
{'Time': '2023-07-24T13:51:00Z', 'SELL': 258.39, 'BUY': 258.46}
{'Time': '2023-07-24T13:51:10Z', 'SELL': 258.26, 'BUY': 258.33}
{'Time': '2023-07-24T13:51:20Z', 'BUY': 258.6, 'SELL': 258.56}
{'Time': '2023-07-24T13:51:30Z', 'BUY': 258.28, 'SELL': 258.19}
{'Time': '2023-07-24T13:51:40Z', 'SELL': 257.74, 'BUY': 257.8}
{'Time': '2023-07-24T13:51:50Z', 'BUY': 257.95, 'SELL': 257.88}
{'Time': '2023-07-24T13:52:00Z', 'BUY': 257.65, 'SELL': 257.56}
{'Time': '2023-07-24T13:52:10Z', 'BUY': 257.79, 'SELL': 257.72}
{'Time': '2023-07-24T13:52:20Z', 'SELL': 257.93, 'BUY': 258.04}
{'Time': '2023-07-24T13:52:30Z', 'SELL': 257.94, 'BUY': 258.0}
{'Time': '2023-07-24T13:52:40Z', 'BUY': 258.07, 'SELL': 258.0}
{'Time': '2023-07-24T13:52:50Z', 'SELL': 257.93, 'BUY': 258.0}
{'Time': '2023-07-24T13:53:00Z', 'SELL': 257.76, 'BUY': 257.81}
{'Time': '2023-07-24T13:53:10Z', 'BUY': 257.3, 'SELL': 257.17}
{'Time': '2023-07-24T13:53:20Z', 'BUY': 256.98, 'SELL': 256.85}
{'Time': '2023-07-24T13:53:30Z', 'SELL': 256.31, 'BUY': 256.42}
{'Time': '2023-07-24T13:53:40Z', 'SELL': 256.64, 'BUY': 256.74}
{'Time': '2023-07-24T13:53:50Z', 'BUY': 256.64, 'SELL': 256.6}
{'Time': '2023-07-24T13:54:00Z', 'SELL': 256.52, 'BUY': 256.58}
{'Time': '2023-07-24T13:54:10Z', 'BUY': 256.36, 'SELL': 256.3}
{'Time': '2023-07-24T13:54:20Z', 'SELL': 256.01, 'BUY': 256.04}
{'Time': '2023-07-24T13:54:30Z', 'SELL': 256.26, 'BUY': 256.34}
{'Time': '2023-07-24T13:54:40Z', 'SELL': 256.0, 'BUY': 256.06}
{'Time': '2023-07-24T13:54:50Z', 'SELL': 255.7, 'BUY': 255.76}
{'Time': '2023-07-24T13:55:00Z', 'SELL': 255.8, 'BUY': 255.88}
{'Time': '2023-07-24T13:55:10Z', 'SELL': 256.14, 'BUY': 256.22}
{'Time': '2023-07-24T13:55:20Z', 'SELL': 256.27, 'BUY': 256.27}
{'Time': '2023-07-24T13:55:30Z', 'BUY': 256.2, 'SELL': 256.13}
{'Time': '2023-07-24T13:55:40Z', 'BUY': 256.23, 'SELL': 256.16}
{'Time': '2023-07-24T13:55:50Z', 'SELL': 255.93, 'BUY': 255.97}
{'Time': '2023-07-24T13:56:00Z', 'SELL': 256.09, 'BUY': 256.11}
{'Time': '2023-07-24T13:56:10Z', 'BUY': 256.33, 'SELL': 256.23}
{'Time': '2023-07-24T13:56:20Z', 'SELL': 256.43, 'BUY': 256.48}
{'Time': '2023-07-24T13:56:30Z', 'SELL': 256.29, 'BUY': 256.38}
{'Time': '2023-07-24T13:56:40Z', 'BUY': 256.62, 'SELL': 256.55}
{'Time': '2023-07-24T13:56:50Z', 'BUY': 256.4, 'SELL': 256.35}
{'Time': '2023-07-24T13:57:00Z', 'SELL': 256.42, 'BUY': 256.49}
{'Time': '2023-07-24T13:57:10Z', 'SELL': 256.56, 'BUY': 256.6}
{'Time': '2023-07-24T13:57:20Z', 'SELL': 256.67, 'BUY': 256.76}
{'Time': '2023-07-24T13:57:30Z', 'BUY': 256.59, 'SELL': 256.55}
{'Time': '2023-07-24T13:57:40Z', 'SELL': 256.34, 'BUY': 256.44}
{'Time': '2023-07-24T13:57:50Z', 'BUY': 256.32, 'SELL': 256.23}
{'Time': '2023-07-24T13:58:00Z', 'BUY': 256.25, 'SELL': 256.17}
{'Time': '2023-07-24T13:58:10Z', 'SELL': 255.97, 'BUY': 256.0}
{'Time': '2023-07-24T13:58:20Z', 'SELL': 256.32, 'BUY': 256.39}
{'Time': '2023-07-24T13:58:30Z', 'SELL': 256.34, 'BUY': 256.4}
{'Time': '2023-07-24T13:58:40Z', 'BUY': 256.33, 'SELL': 256.29}
{'Time': '2023-07-24T13:58:50Z', 'SELL': 256.25, 'BUY': 256.32}
{'Time': '2023-07-24T13:59:00Z', 'BUY': 256.14, 'SELL': 256.05}
{'Time': '2023-07-24T13:59:10Z', 'BUY': 256.17, 'SELL': 256.09}
{'Time': '2023-07-24T13:59:20Z', 'SELL': 256.22, 'BUY': 256.28}
{'Time': '2023-07-24T13:59:30Z', 'SELL': 256.34, 'BUY': 256.39}
{'Time': '2023-07-24T13:59:40Z', 'SELL': 256.41, 'BUY': 256.5}
{'Time': '2023-07-24T13:59:50Z', 'BUY': 256.5, 'SELL': 256.42}
{'Time': '2023-07-24T14:00:00Z', 'SELL': 256.46, 'BUY': 256.6}
{'Time': '2023-07-24T14:00:10Z', 'BUY': 257.13, 'SELL': 257.07}
{'Time': '2023-07-24T14:00:20Z', 'SELL': 257.12, 'BUY': 257.2}
{'Time': '2023-07-24T14:00:30Z', 'BUY': 257.17, 'SELL': 257.14}
{'Time': '2023-07-24T14:00:40Z', 'BUY': 257.32, 'SELL': 257.26}
{'Time': '2023-07-24T14:00:50Z', 'SELL': 257.32, 'BUY': 257.37}
{'Time': '2023-07-24T14:01:00Z', 'SELL': 257.34, 'BUY': 257.38}
