,_id_x,CurTime,GetTime_x,Symbol,TradeTime,Last,Ask,AskSize,Bid,BidSize,Volume,VWAP,Open,High,Low,PreviousClose,PreviousVolume,NetChange,NetChangePct,_id_y,GetTime_y,EarliestTime,LatestTime,Side,Price,TotalSize,BiggestSize,SmallestSize,NumParticipants,TotalOrderCount,Dif
5,647de3585869ec113f5e66dd,2023-06-05T13:30:00Z,2023-06-05T13:29:59Z,TSLA,2023-06-05T13:29:57Z,217.789,217.79,700.0,217.75,400.0,2994330.0,0.0,0.0,0.0,0.0,213.97,164398372.0,3.819,0.0178,647de3585869ec113f5e671b,2023-06-05T13:29:59Z,2023-06-05T13:29:59Z,2023-06-05T13:29:59Z,Ask,217.7,-381.0,200.0,181.0,2.0,2.0,0.08899999999999864
12,647de3625869ec113f5e6790,2023-06-05T13:30:10Z,2023-06-05T13:30:09Z,TSLA,2023-06-05T13:30:08Z,217.475,217.55,300.0,217.45,1400.0,3911438.0,217.696804050032,217.8,218.0,217.45,213.97,164398372.0,3.505,0.0164,647de3625869ec113f5e679a,2023-06-05T13:30:09Z,2023-06-05T13:30:01Z,2023-06-05T13:30:01Z,Bid,217.78,25.0,25.0,25.0,1.0,1.0,0.3050000000000068
33,647de36c5869ec113f5e685c,2023-06-05T13:30:20Z,2023-06-05T13:30:19Z,TSLA,2023-06-05T13:30:18Z,218.48,218.48,1800.0,218.42,100.0,4376822.0,217.80173288528,217.8,218.48,217.45,213.97,164398372.0,4.51,0.0211,647de36c5869ec113f5e68af,2023-06-05T13:30:19Z,2023-06-05T13:30:10Z,2023-06-05T13:30:10Z,Ask,217.56,-159.0,159.0,159.0,1.0,2.0,0.9199999999999875
50,647de3765869ec113f5e692e,2023-06-05T13:30:30Z,2023-06-05T13:30:29Z,TSLA,2023-06-05T13:30:29Z,218.46,218.5,200.0,218.43,100.0,4699948.0,217.911009648926,217.8,218.6299,217.45,213.97,164398372.0,4.49,0.021,647de3765869ec113f5e69a4,2023-06-05T13:30:29Z,2023-06-05T13:30:25Z,2023-06-05T13:30:25Z,Ask,218.24,-200.0,200.0,200.0,1.0,2.0,0.21999999999999886
57,647de3805869ec113f5e69f9,2023-06-05T13:30:40Z,2023-06-05T13:30:39Z,TSLA,2023-06-05T13:30:38Z,218.34,218.37,300.0,218.3,300.0,4947063.0,217.991002175381,217.8,218.67999,217.45,213.97,164398372.0,4.37,0.0204,647de3805869ec113f5e6a03,2023-06-05T13:30:39Z,2023-06-05T13:30:39Z,2023-06-05T13:30:39Z,Bid,218.37,41.0,41.0,41.0,1.0,2.0,0.030000000000001137
58,647de3805869ec113f5e69f9,2023-06-05T13:30:40Z,2023-06-05T13:30:39Z,TSLA,2023-06-05T13:30:38Z,218.34,218.37,300.0,218.3,300.0,4947063.0,217.991002175381,217.8,218.67999,217.45,213.97,164398372.0,4.37,0.0204,647de3805869ec113f5e6a0f,2023-06-05T13:30:39Z,2023-06-05T13:30:39Z,2023-06-05T13:30:39Z,Bid,218.36,200.0,100.0,100.0,2.0,2.0,0.020000000000010232
59,647de3805869ec113f5e69f9,2023-06-05T13:30:40Z,2023-06-05T13:30:39Z,TSLA,2023-06-05T13:30:38Z,218.34,218.37,300.0,218.3,300.0,4947063.0,217.991002175381,217.8,218.67999,217.45,213.97,164398372.0,4.37,0.0204,647de3805869ec113f5e6a1a,2023-06-05T13:30:39Z,2023-06-05T13:30:39Z,2023-06-05T13:30:39Z,Bid,218.35,100.0,100.0,100.0,1.0,1.0,0.009999999999990905
86,647de38a5869ec113f5e6acc,2023-06-05T13:30:50Z,2023-06-05T13:30:49Z,TSLA,2023-06-05T13:30:48Z,219.19,219.19,200.0,219.1,100.0,5377336.0,218.147422966456,217.8,219.28,217.45,213.97,164398372.0,5.22,0.0244,647de38a5869ec113f5e6b1e,2023-06-05T13:30:50Z,2023-06-05T13:30:50Z,2023-06-05T13:30:50Z,Ask,218.99,-31.0,31.0,31.0,1.0,1.0,0.19999999999998863
87,647de38a5869ec113f5e6acc,2023-06-05T13:30:50Z,2023-06-05T13:30:49Z,TSLA,2023-06-05T13:30:48Z,219.19,219.19,200.0,219.1,100.0,5377336.0,218.147422966456,217.8,219.28,217.45,213.97,164398372.0,5.22,0.0244,647de38a5869ec113f5e6b26,2023-06-05T13:30:50Z,2023-06-05T13:30:49Z,2023-06-05T13:30:50Z,Ask,219.02,-300.0,200.0,100.0,2.0,2.0,0.1699999999999875
88,647de38a5869ec113f5e6acc,2023-06-05T13:30:50Z,2023-06-05T13:30:49Z,TSLA,2023-06-05T13:30:48Z,219.19,219.19,200.0,219.1,100.0,5377336.0,218.147422966456,217.8,219.28,217.45,213.97,164398372.0,5.22,0.0244,647de38a5869ec113f5e6b31,2023-06-05T13:30:50Z,2023-06-05T13:30:49Z,2023-06-05T13:30:49Z,Ask,219.04,-300.0,300.0,300.0,1.0,1.0,0.15000000000000568
