,Time,VolumeSum,Long,Short,BUY,SELL,Buy Action,Sell Action,Gain
0,2023-06-12T19:00:00Z,4396.630000002301,True,False,249.98,249.97,True,False,-249.98
1,2023-06-12T19:00:10Z,2753.1737999991874,True,False,249.99,249.95,False,False,
2,2023-06-12T19:00:20Z,437.64000000016813,True,False,249.99,249.97,False,False,
3,2023-06-12T19:00:30Z,-12.039999999968074,False,True,249.88,249.86,False,True,249.86
4,2023-06-12T19:00:40Z,8.376200000037215,True,False,249.79,249.77,True,False,-249.79
5,2023-06-12T19:00:50Z,-102.00000000003519,False,True,249.71,249.68,False,True,249.68
6,2023-06-12T19:01:00Z,47.49999999998664,True,False,249.74,249.71,True,False,-249.74
7,2023-06-12T19:01:10Z,-110.25999999998214,False,True,249.61,249.58,False,True,249.58
8,2023-06-12T19:01:20Z,-38.7188999999517,False,True,249.61,249.59,False,False,
9,2023-06-12T19:01:30Z,-12.780000000013331,False,True,249.65,249.63,False,False,
10,2023-06-12T19:01:40Z,-36.7399999999989,False,True,249.65,249.64,False,False,
11,2023-06-12T19:01:50Z,69.30999999997721,True,False,249.87,249.84,True,False,-249.87
12,2023-06-12T19:02:00Z,-42.40010000002786,False,True,249.87,249.84,False,True,249.84
13,2023-06-12T19:02:10Z,-201.67000000002764,False,True,249.8,249.76,False,False,
14,2023-06-12T19:02:20Z,69.78000000000645,True,False,249.9,249.88,True,False,-249.9
15,2023-06-12T19:02:30Z,343.59999999995284,True,False,249.88,249.87,False,False,
16,2023-06-12T19:02:40Z,-12.565799999994226,False,True,249.85,249.81,False,True,249.81
17,2023-06-12T19:02:50Z,-48.89000000002298,False,True,249.82,249.79,False,False,
18,2023-06-12T19:03:00Z,-22.5000000000243,False,True,249.81,249.79,False,False,
19,2023-06-12T19:03:10Z,20.264999999987253,True,False,249.81,249.79,True,False,-249.81
20,2023-06-12T19:03:30Z,15.465500000047996,True,False,249.66,249.64,False,False,
21,2023-06-12T19:03:40Z,-82.58999999997059,False,True,249.68,249.67,False,True,249.67
22,2023-06-12T19:03:50Z,-10.140000000026362,False,True,249.72,249.69,False,False,
