,Time,VolumeSum,Long,Short,Buy Action,Sell Action,Last,BUY,SELL,Gain,10sec Dif,10sec Short Dif,10sec Gain,10sec Short Gain,20sec Dif,20sec Short Dif,20sec Gain,20sec Short Gain,30sec Dif,30sec Short Dif,30sec Gain,30sec Short Gain,40sec Dif,40sec Short Dif,40sec Gain,40sec Short Gain,50sec Dif,50sec Short Dif,50sec Gain,50sec Short Gain,60sec Dif,60sec Short Dif,60sec Gain,60sec Short Gain,70sec Dif,70sec Short Dif,70sec Gain,70sec Short Gain,80sec Dif,80sec Short Dif,80sec Gain,80sec Short Gain,90sec Dif,90sec Short Dif,90sec Gain,90sec Short Gain,100sec Dif,100sec Short Dif,100sec Gain,100sec Short Gain,110sec Dif,110sec Short Dif,110sec Gain,110sec Short Gain,120sec Dif,120sec Short Dif,120sec Gain,120sec Short Gain,130sec Dif,130sec Short Dif,130sec Gain,130sec Short Gain,140sec Dif,140sec Short Dif,140sec Gain,140sec Short Gain,150sec Dif,150sec Short Dif,150sec Gain,150sec Short Gain,160sec Dif,160sec Short Dif,160sec Gain,160sec Short Gain,170sec Dif,170sec Short Dif,170sec Gain,170sec Short Gain,180sec Dif,180sec Short Dif,180sec Gain,180sec Short Gain,190sec Dif,190sec Short Dif,190sec Gain,190sec Short Gain,200sec Dif,200sec Short Dif,200sec Gain,200sec Short Gain,210sec Dif,210sec Short Dif,210sec Gain,210sec Short Gain,220sec Dif,220sec Short Dif,220sec Gain,220sec Short Gain,230sec Dif,230sec Short Dif,230sec Gain,230sec Short Gain
0,2023-06-08T14:46:30Z,False,False,False,False,False,230.44,230.46,230.43,,-0.09000000000000341,0.030000000000001137,,,-0.20000000000001705,0.14000000000001478,,,-0.3100000000000023,0.27000000000001023,,,-0.4800000000000182,0.4200000000000159,,,-0.4800000000000182,0.4300000000000068,,,-0.45000000000001705,0.4000000000000057,,,-0.4300000000000068,0.37999999999999545,,,-0.4800000000000182,0.4300000000000068,,,-0.4800000000000182,0.4300000000000068,,,-0.3300000000000125,0.28000000000000114,,,-0.4900000000000091,0.4200000000000159,,,-0.3900000000000148,0.30000000000001137,,,-0.37999999999999545,0.3199999999999932,,,-0.3300000000000125,0.27000000000001023,,,-0.21000000000000796,0.15000000000000568,,,-0.09999999999999432,0.040000000000020464,,,-0.05000000000001137,0.010000000000019327,,,-0.15000000000000568,0.09000000000000341,,,-0.29000000000002046,0.2400000000000091,,,-0.45000000000001705,0.3900000000000148,,,-0.36000000000001364,0.30000000000001137,,,-0.3499999999999943,0.30000000000001137,,,-0.20000000000001705,0.15000000000000568,,
1,2023-06-08T14:46:40Z,False,False,False,False,False,230.39,230.4,230.37,,-0.14000000000001478,0.0800000000000125,,,-0.25,0.21000000000000796,,,-0.4200000000000159,0.36000000000001364,,,-0.4200000000000159,0.37000000000000455,,,-0.3900000000000148,0.3400000000000034,,,-0.37000000000000455,0.3199999999999932,,,-0.4200000000000159,0.37000000000000455,,,-0.4200000000000159,0.37000000000000455,,,-0.27000000000001023,0.21999999999999886,,,-0.4300000000000068,0.36000000000001364,,,-0.3300000000000125,0.2400000000000091,,,-0.3199999999999932,0.2599999999999909,,,-0.27000000000001023,0.21000000000000796,,,-0.15000000000000568,0.09000000000000341,,,-0.03999999999999204,-0.01999999999998181,,,0.009999999999990905,-0.04999999999998295,,,-0.09000000000000341,0.030000000000001137,,,-0.2300000000000182,0.18000000000000682,,,-0.3900000000000148,0.3300000000000125,,,-0.30000000000001137,0.2400000000000091,,,-0.28999999999999204,0.2400000000000091,,,-0.14000000000001478,0.09000000000000341,,,-0.3300000000000125,0.25,,
2,2023-06-08T14:46:50Z,False,False,False,False,False,230.335,230.29,230.26,,-0.13999999999998636,0.09999999999999432,,,-0.3100000000000023,0.25,,,-0.3100000000000023,0.2599999999999909,,,-0.28000000000000114,0.22999999999998977,,,-0.2599999999999909,0.20999999999997954,,,-0.3100000000000023,0.2599999999999909,,,-0.3100000000000023,0.2599999999999909,,,-0.1599999999999966,0.10999999999998522,,,-0.3199999999999932,0.25,,,-0.21999999999999886,0.12999999999999545,,,-0.20999999999997954,0.14999999999997726,,,-0.1599999999999966,0.09999999999999432,,,-0.03999999999999204,-0.020000000000010232,,,0.0700000000000216,-0.12999999999999545,,,0.12000000000000455,-0.1599999999999966,,,0.020000000000010232,-0.0800000000000125,,,-0.12000000000000455,0.06999999999999318,,,-0.28000000000000114,0.21999999999999886,,,-0.18999999999999773,0.12999999999999545,,,-0.1799999999999784,0.12999999999999545,,,-0.030000000000001137,-0.020000000000010232,,,-0.21999999999999886,0.13999999999998636,,,-0.23999999999998067,0.19999999999998863,,
3,2023-06-08T14:47:00Z,False,False,False,False,False,230.22,230.16,230.15,,-0.18000000000000682,0.14000000000001478,,,-0.18000000000000682,0.15000000000000568,,,-0.15000000000000568,0.12000000000000455,,,-0.12999999999999545,0.09999999999999432,,,-0.18000000000000682,0.15000000000000568,,,-0.18000000000000682,0.15000000000000568,,,-0.030000000000001137,0.0,,,-0.18999999999999773,0.14000000000001478,,,-0.09000000000000341,0.020000000000010232,,,-0.07999999999998408,0.03999999999999204,,,-0.030000000000001137,-0.009999999999990905,,,0.09000000000000341,-0.12999999999999545,,,0.20000000000001705,-0.23999999999998067,,,0.25,-0.2699999999999818,,,0.15000000000000568,-0.18999999999999773,,,0.009999999999990905,-0.03999999999999204,,,-0.15000000000000568,0.11000000000001364,,,-0.060000000000002274,0.020000000000010232,,,-0.04999999999998295,0.020000000000010232,,,0.09999999999999432,-0.12999999999999545,,,-0.09000000000000341,0.030000000000001137,,,-0.10999999999998522,0.09000000000000341,,,-0.030000000000001137,0.0,,
4,2023-06-08T14:47:10Z,False,False,False,False,False,230.0495,230.01,229.98,,-0.030000000000001137,-0.020000000000010232,,,0.0,-0.05000000000001137,,,0.020000000000010232,-0.0700000000000216,,,-0.030000000000001137,-0.020000000000010232,,,-0.030000000000001137,-0.020000000000010232,,,0.12000000000000455,-0.17000000000001592,,,-0.03999999999999204,-0.030000000000001137,,,0.060000000000002274,-0.15000000000000568,,,0.0700000000000216,-0.13000000000002387,,,0.12000000000000455,-0.18000000000000682,,,0.2400000000000091,-0.30000000000001137,,,0.35000000000002274,-0.4099999999999966,,,0.4000000000000057,-0.4399999999999977,,,0.30000000000001137,-0.36000000000001364,,,0.1599999999999966,-0.21000000000000796,,,0.0,-0.060000000000002274,,,0.09000000000000341,-0.15000000000000568,,,0.10000000000002274,-0.15000000000000568,,,0.25,-0.30000000000001137,,,0.060000000000002274,-0.14000000000001478,,,0.040000000000020464,-0.0800000000000125,,,0.12000000000000455,-0.17000000000001592,,,0.1599999999999966,-0.2400000000000091,,
5,2023-06-08T14:47:20Z,False,False,False,False,False,229.98,230.0,229.98,,0.009999999999990905,-0.05000000000001137,,,0.030000000000001137,-0.0700000000000216,,,-0.020000000000010232,-0.020000000000010232,,,-0.020000000000010232,-0.020000000000010232,,,0.12999999999999545,-0.17000000000001592,,,-0.030000000000001137,-0.030000000000001137,,,0.06999999999999318,-0.15000000000000568,,,0.0800000000000125,-0.13000000000002387,,,0.12999999999999545,-0.18000000000000682,,,0.25,-0.30000000000001137,,,0.36000000000001364,-0.4099999999999966,,,0.4099999999999966,-0.4399999999999977,,,0.3100000000000023,-0.36000000000001364,,,0.1699999999999875,-0.21000000000000796,,,0.009999999999990905,-0.060000000000002274,,,0.09999999999999432,-0.15000000000000568,,,0.11000000000001364,-0.15000000000000568,,,0.2599999999999909,-0.30000000000001137,,,0.06999999999999318,-0.14000000000001478,,,0.05000000000001137,-0.0800000000000125,,,0.12999999999999545,-0.17000000000001592,,,0.1699999999999875,-0.2400000000000091,,,0.060000000000002274,-0.09000000000000341,,
6,2023-06-08T14:47:30Z,False,False,False,False,False,230.0299,230.03,230.01,,0.0,-0.040000000000020464,,,-0.05000000000001137,0.009999999999990905,,,-0.05000000000001137,0.009999999999990905,,,0.09999999999999432,-0.14000000000001478,,,-0.060000000000002274,0.0,,,0.03999999999999204,-0.12000000000000455,,,0.05000000000001137,-0.10000000000002274,,,0.09999999999999432,-0.15000000000000568,,,0.21999999999999886,-0.27000000000001023,,,0.3300000000000125,-0.37999999999999545,,,0.37999999999999545,-0.4099999999999966,,,0.28000000000000114,-0.3300000000000125,,,0.13999999999998636,-0.18000000000000682,,,-0.020000000000010232,-0.030000000000001137,,,0.06999999999999318,-0.12000000000000455,,,0.0800000000000125,-0.12000000000000455,,,0.22999999999998977,-0.27000000000001023,,,0.03999999999999204,-0.11000000000001364,,,0.020000000000010232,-0.05000000000001137,,,0.09999999999999432,-0.14000000000001478,,,0.13999999999998636,-0.21000000000000796,,,0.030000000000001137,-0.060000000000002274,,,-0.06999999999999318,0.009999999999990905,,
7,2023-06-08T14:47:40Z,False,False,False,False,False,230.06,230.05,230.03,,-0.0700000000000216,0.030000000000001137,,,-0.0700000000000216,0.030000000000001137,,,0.07999999999998408,-0.12000000000000455,,,-0.0800000000000125,0.020000000000010232,,,0.01999999999998181,-0.09999999999999432,,,0.030000000000001137,-0.0800000000000125,,,0.07999999999998408,-0.12999999999999545,,,0.19999999999998863,-0.25,,,0.3100000000000023,-0.3599999999999852,,,0.3599999999999852,-0.38999999999998636,,,0.2599999999999909,-0.3100000000000023,,,0.11999999999997613,-0.1599999999999966,,,-0.040000000000020464,-0.009999999999990905,,,0.04999999999998295,-0.09999999999999432,,,0.060000000000002274,-0.09999999999999432,,,0.20999999999997954,-0.25,,,0.01999999999998181,-0.09000000000000341,,,0.0,-0.030000000000001137,,,0.07999999999998408,-0.12000000000000455,,,0.11999999999997613,-0.18999999999999773,,,0.009999999999990905,-0.03999999999999204,,,-0.09000000000000341,0.030000000000001137,,,-0.030000000000001137,-0.009999999999990905,,
8,2023-06-08T14:47:50Z,False,False,False,False,False,230.015,230.0,229.98,,-0.020000000000010232,-0.020000000000010232,,,0.12999999999999545,-0.17000000000001592,,,-0.030000000000001137,-0.030000000000001137,,,0.06999999999999318,-0.15000000000000568,,,0.0800000000000125,-0.13000000000002387,,,0.12999999999999545,-0.18000000000000682,,,0.25,-0.30000000000001137,,,0.36000000000001364,-0.4099999999999966,,,0.4099999999999966,-0.4399999999999977,,,0.3100000000000023,-0.36000000000001364,,,0.1699999999999875,-0.21000000000000796,,,0.009999999999990905,-0.060000000000002274,,,0.09999999999999432,-0.15000000000000568,,,0.11000000000001364,-0.15000000000000568,,,0.2599999999999909,-0.30000000000001137,,,0.06999999999999318,-0.14000000000001478,,,0.05000000000001137,-0.0800000000000125,,,0.12999999999999545,-0.17000000000001592,,,0.1699999999999875,-0.2400000000000091,,,0.060000000000002274,-0.09000000000000341,,,-0.03999999999999204,-0.020000000000010232,,,0.020000000000010232,-0.060000000000002274,,,0.060000000000002274,-0.09000000000000341,,
9,2023-06-08T14:48:00Z,False,False,False,False,False,230.0094,230.0,229.98,,0.12999999999999545,-0.17000000000001592,,,-0.030000000000001137,-0.030000000000001137,,,0.06999999999999318,-0.15000000000000568,,,0.0800000000000125,-0.13000000000002387,,,0.12999999999999545,-0.18000000000000682,,,0.25,-0.30000000000001137,,,0.36000000000001364,-0.4099999999999966,,,0.4099999999999966,-0.4399999999999977,,,0.3100000000000023,-0.36000000000001364,,,0.1699999999999875,-0.21000000000000796,,,0.009999999999990905,-0.060000000000002274,,,0.09999999999999432,-0.15000000000000568,,,0.11000000000001364,-0.15000000000000568,,,0.2599999999999909,-0.30000000000001137,,,0.06999999999999318,-0.14000000000001478,,,0.05000000000001137,-0.0800000000000125,,,0.12999999999999545,-0.17000000000001592,,,0.1699999999999875,-0.2400000000000091,,,0.060000000000002274,-0.09000000000000341,,,-0.03999999999999204,-0.020000000000010232,,,0.020000000000010232,-0.060000000000002274,,,0.060000000000002274,-0.09000000000000341,,,-0.030000000000001137,-0.010000000000019327,,
