{'Time': '2023-07-31T13:42:00Z', 'BUY': 133.44, 'SELL': 133.42}
{'Time': '2023-07-31T13:42:10Z', 'BUY': 133.42, 'SELL': 133.4}
{'Time': '2023-07-31T13:42:20Z', 'SELL': 133.53, 'BUY': 133.54}
{'Time': '2023-07-31T13:42:30Z', 'BUY': 133.53, 'SELL': 133.53}
{'Time': '2023-07-31T13:42:40Z', 'BUY': 133.47, 'SELL': 133.45}
{'Time': '2023-07-31T13:42:50Z', 'BUY': 133.52, 'SELL': 133.51}
{'Time': '2023-07-31T13:43:00Z', 'SELL': 133.47, 'BUY': 133.49}
{'Time': '2023-07-31T13:43:10Z', 'BUY': 133.52, 'SELL': 133.5}
{'Time': '2023-07-31T13:43:20Z', 'BUY': 133.49, 'SELL': 133.47}
{'Time': '2023-07-31T13:43:30Z', 'BUY': 133.47, 'SELL': 133.46}
{'Time': '2023-07-31T13:43:40Z', 'BUY': 133.47, 'SELL': 133.45}
{'Time': '2023-07-31T13:43:50Z', 'SELL': 133.4, 'BUY': 133.41}
{'Time': '2023-07-31T13:44:00Z', 'SELL': 133.48, 'BUY': 133.49}
{'Time': '2023-07-31T13:44:10Z', 'BUY': 133.51, 'SELL': 133.48}
{'Time': '2023-07-31T13:44:20Z', 'SELL': 133.5, 'BUY': 133.51}
{'Time': '2023-07-31T13:44:30Z', 'SELL': 133.42, 'BUY': 133.45}
{'Time': '2023-07-31T13:44:40Z', 'BUY': 133.43, 'SELL': 133.41}
{'Time': '2023-07-31T13:44:50Z', 'SELL': 133.48, 'BUY': 133.49}
{'Time': '2023-07-31T13:45:00Z', 'SELL': 133.5, 'BUY': 133.52}
{'Time': '2023-07-31T13:45:10Z', 'BUY': 133.7, 'SELL': 133.69}
{'Time': '2023-07-31T13:45:20Z', 'SELL': 133.73, 'BUY': 133.75}
{'Time': '2023-07-31T13:45:30Z', 'SELL': 133.77, 'BUY': 133.79}
{'Time': '2023-07-31T13:45:40Z', 'SELL': 133.75, 'BUY': 133.76}
{'Time': '2023-07-31T13:45:50Z', 'BUY': 133.75, 'SELL': 133.74}
{'Time': '2023-07-31T13:46:00Z', 'BUY': 133.83, 'SELL': 133.82}
{'Time': '2023-07-31T13:46:10Z', 'SELL': 133.79, 'BUY': 133.8}
{'Time': '2023-07-31T13:46:20Z', 'BUY': 133.8, 'SELL': 133.78}
{'Time': '2023-07-31T13:46:30Z', 'SELL': 133.72, 'BUY': 133.73}
{'Time': '2023-07-31T13:46:40Z', 'BUY': 133.73, 'SELL': 133.71}
{'Time': '2023-07-31T13:46:50Z', 'SELL': 133.74, 'BUY': 133.76}
{'Time': '2023-07-31T13:47:00Z', 'SELL': 133.68, 'BUY': 133.7}
{'Time': '2023-07-31T13:47:10Z', 'BUY': 133.63, 'SELL': 133.61}
{'Time': '2023-07-31T13:47:20Z', 'BUY': 133.54, 'SELL': 133.53}
{'Time': '2023-07-31T13:47:30Z', 'BUY': 133.5, 'SELL': 133.49}
{'Time': '2023-07-31T13:47:40Z', 'SELL': 133.44, 'BUY': 133.45}
{'Time': '2023-07-31T13:47:50Z', 'SELL': 133.46, 'BUY': 133.47}
{'Time': '2023-07-31T13:48:00Z', 'BUY': 133.53, 'SELL': 133.52}
{'Time': '2023-07-31T13:48:10Z', 'BUY': 133.39, 'SELL': 133.38}
{'Time': '2023-07-31T13:48:20Z', 'BUY': 133.37, 'SELL': 133.35}
{'Time': '2023-07-31T13:48:30Z', 'SELL': 133.36, 'BUY': 133.37}
{'Time': '2023-07-31T13:48:40Z', 'SELL': 133.37, 'BUY': 133.39}
{'Time': '2023-07-31T13:48:50Z', 'SELL': 133.25, 'BUY': 133.27}
{'Time': '2023-07-31T13:49:00Z', 'BUY': 133.2, 'SELL': 133.2}
{'Time': '2023-07-31T13:49:10Z', 'BUY': 133.27, 'SELL': 133.25}
{'Time': '2023-07-31T13:49:20Z', 'SELL': 133.18, 'BUY': 133.19}
{'Time': '2023-07-31T13:49:30Z', 'BUY': 133.05, 'SELL': 133.04}
{'Time': '2023-07-31T13:49:40Z', 'BUY': 133.05, 'SELL': 133.05}
{'Time': '2023-07-31T13:49:50Z', 'BUY': 133.05, 'SELL': 133.04}
{'Time': '2023-07-31T13:50:00Z', 'BUY': 133.06, 'SELL': 133.04}
{'Time': '2023-07-31T13:50:10Z', 'BUY': 133.13, 'SELL': 133.09}
{'Time': '2023-07-31T13:50:20Z', 'BUY': 133.15, 'SELL': 133.14}
{'Time': '2023-07-31T13:50:30Z', 'SELL': 133.11, 'BUY': 133.12}
{'Time': '2023-07-31T13:50:40Z', 'SELL': 133.13, 'BUY': 133.13}
{'Time': '2023-07-31T13:50:50Z', 'BUY': 133.08, 'SELL': 133.06}
