BTCUSD,27753.5,,,27757,1,2023-05-30T08:04:46Z
BTCUSD,27754.5,27752,0.1836,,,2023-05-30T08:04:47Z
BTCUSD,27754.65,,,27757.3,1,2023-05-30T08:04:47Z
BTCUSD,27755.05,,,27758.1,1,2023-05-30T08:04:50Z
BTCUSD,27755.35,,,27758.7,1,2023-05-30T08:04:54Z
BTCUSD,27755.85,27753,0.1836,,,2023-05-30T08:04:55Z
BTCUSD,27756.45,,,27759.9,1,2023-05-30T08:04:59Z
BTCUSD,27756.95,27754,0.1836,,,2023-05-30T08:04:59Z
BTCUSD,27757.45,27755,0.1836,,,2023-05-30T08:05:05Z
BTCUSD,27757.95,27756,0.1836,,,2023-05-30T08:05:06Z
BTCUSD,27759,,,27762,1,2023-05-30T08:05:06Z
BTCUSD,27759.2,,,27762.4,1,2023-05-30T08:05:07Z
BTCUSD,27759.7,27757,0.1836,,,2023-05-30T08:05:08Z
BTCUSD,27760.15,,,27763.3,1,2023-05-30T08:05:08Z
BTCUSD,27760.3,,,27763.6,1,2023-05-30T08:05:08Z
BTCUSD,27760.65,27757.7,1,,,2023-05-30T08:05:09Z
BTCUSD,27760.8,27758,0.1836,,,2023-05-30T08:05:10Z
BTCUSD,27761.3,27759,0.1836,,,2023-05-30T08:05:16Z
BTCUSD,27760,,,27761,1,2023-05-30T08:05:24Z
BTCUSD,27759.5,27758,0.1836,,,2023-05-30T08:05:24Z
BTCUSD,27760.1,,,27762.2,1,2023-05-30T08:05:43Z
BTCUSD,27760.8,,,27763.6,1,2023-05-30T08:05:51Z
BTCUSD,27761.3,27759,0.1836,,,2023-05-30T08:05:52Z
BTCUSD,27760.95,,,27762.9,1,2023-05-30T08:05:54Z
BTCUSD,27761.45,27760,0.1836,,,2023-05-30T08:06:18Z
BTCUSD,27761.85,,,27763.7,1,2023-05-30T08:06:18Z
BTCUSD,27762.35,27761,0.1836,,,2023-05-30T08:06:22Z
BTCUSD,27761.85,27760,0.1836,,,2023-05-30T08:06:26Z
BTCUSD,27762.19,,,27764.38,1,2023-05-30T08:06:33Z
BTCUSD,27762.69,27761,0.1836,,,2023-05-30T08:06:33Z
BTCUSD,27762.94,,,27764.88,1,2023-05-30T08:06:34Z
BTCUSD,27762.44,27760,0.1836,,,2023-05-30T08:06:55Z
BTCUSD,27760.89,,,27761.78,1,2023-05-30T08:06:56Z
BTCUSD,27760.39,27759,0.1836,,,2023-05-30T08:06:56Z
BTCUSD,27760.89,27760,0.1836,,,2023-05-30T08:07:11Z
BTCUSD,27761.04,,,27762.08,1,2023-05-30T08:07:21Z
BTCUSD,27761.54,27761,0.1836,,,2023-05-30T08:07:23Z
BTCUSD,27762.49,,,27763.98,1,2023-05-30T08:07:23Z
BTCUSD,27761.99,27760,0.1836,,,2023-05-30T08:07:31Z
BTCUSD,27761.64,,,27763.28,1,2023-05-30T08:07:32Z
