2023-05-30T16:11:33Z,Ask,1.08,2200,3,NSDQ
2023-05-30T16:11:33Z,Ask,1.08,700,1,NYSE
2023-05-30T16:11:00Z,Ask,1.09,500,1,CHXE
2023-05-30T15:40:11Z,Ask,1.12,100,1,EDGA
2023-05-30T16:02:54Z,Ask,1.12,100,1,PSX
2023-05-30T14:17:43Z,Ask,1.33,100,1,BX
2023-05-30T16:11:43Z,Bid,1.07,100,1,AMEX
2023-05-30T16:11:33Z,Bid,1.07,200,1,BATS
2023-05-30T16:13:33Z,Bid,1.07,800,1,EDGX
2023-05-30T16:11:33Z,Bid,1.07,308,2,NSDQ
2023-05-30T16:12:52Z,Bid,1.06,3800,1,ARCX
2023-05-30T16:07:19Z,Bid,1.06,600,1,BATY
2023-05-30T16:03:24Z,Bid,1.06,500,1,CINN
2023-05-30T16:07:19Z,Bid,1.06,200,1,IEX
2023-05-30T16:11:33Z,Bid,1.06,1100,1,MEMX
2023-05-30T15:56:07Z,Bid,1.06,1000,1,MPRL
2023-05-30T16:11:33Z,Bid,1.06,700,1,NYSE
2023-05-30T16:11:00Z,Bid,1.04,500,1,CHXE
2023-05-30T15:50:22Z,Bid,1.04,100,1,EDGA
2023-05-30T16:04:35Z,Bid,1.04,100,1,PSX
2023-05-30T14:12:55Z,Bid,0.985,100,1,BX
2023-05-30T16:11:33Z,Ask,1.08,1000,1,AMEX
2023-05-30T16:11:33Z,Ask,1.08,1500,1,ARCX
2023-05-30T16:11:33Z,Ask,1.08,700,1,BATS
2023-05-30T16:11:54Z,Ask,1.08,500,1,BATY
2023-05-30T16:11:33Z,Ask,1.08,500,1,CINN
2023-05-30T16:12:29Z,Ask,1.08,4100,1,EDGX
2023-05-30T16:11:33Z,Ask,1.08,800,1,IEX
2023-05-30T16:11:33Z,Ask,1.08,1200,1,MEMX
2023-05-30T16:07:19Z,Ask,1.08,200,1,MPRL
2023-05-30T16:11:33Z,Ask,1.08,2200,3,NSDQ
2023-05-30T16:11:33Z,Ask,1.08,700,1,NYSE
2023-05-30T16:11:00Z,Ask,1.09,500,1,CHXE
2023-05-30T15:40:11Z,Ask,1.12,100,1,EDGA
2023-05-30T16:02:54Z,Ask,1.12,100,1,PSX
2023-05-30T14:17:43Z,Ask,1.33,100,1,BX
2023-05-30T16:11:43Z,Bid,1.07,100,1,AMEX
2023-05-30T16:11:33Z,Bid,1.07,200,1,BATS
2023-05-30T16:13:39Z,Bid,1.07,700,1,EDGX
2023-05-30T16:11:33Z,Bid,1.07,308,2,NSDQ
2023-05-30T16:12:52Z,Bid,1.06,3800,1,ARCX
2023-05-30T16:07:19Z,Bid,1.06,600,1,BATY
2023-05-30T16:03:24Z,Bid,1.06,500,1,CINN
2023-05-30T16:07:19Z,Bid,1.06,200,1,IEX
2023-05-30T16:11:33Z,Bid,1.06,1100,1,MEMX
2023-05-30T15:56:07Z,Bid,1.06,1000,1,MPRL
2023-05-30T16:11:33Z,Bid,1.06,700,1,NYSE
2023-05-30T16:11:00Z,Bid,1.04,500,1,CHXE
2023-05-30T15:50:22Z,Bid,1.04,100,1,EDGA
2023-05-30T16:04:35Z,Bid,1.04,100,1,PSX
2023-05-30T14:12:55Z,Bid,0.985,100,1,BX
2023-05-30T16:11:33Z,Ask,1.08,1000,1,AMEX
2023-05-30T16:13:39Z,Ask,1.08,1900,1,ARCX
2023-05-30T16:11:33Z,Ask,1.08,700,1,BATS
2023-05-30T16:11:54Z,Ask,1.08,500,1,BATY
2023-05-30T16:11:33Z,Ask,1.08,500,1,CINN
2023-05-30T16:12:29Z,Ask,1.08,4100,1,EDGX
2023-05-30T16:11:33Z,Ask,1.08,800,1,IEX
2023-05-30T16:11:33Z,Ask,1.08,1200,1,MEMX
2023-05-30T16:07:19Z,Ask,1.08,200,1,MPRL
2023-05-30T16:11:33Z,Ask,1.08,2200,3,NSDQ
2023-05-30T16:11:33Z,Ask,1.08,700,1,NYSE
2023-05-30T16:11:00Z,Ask,1.09,500,1,CHXE
