{'Time': '2023-06-08T19:14:10Z', 'OrderTime': '2023-06-08T19:14:10Z', 'Price': 233.19, 'Balance': 0.5199999999999534, 'VolumeSum': -650.0}
{'Time': '2023-06-08T19:15:30Z', 'OrderTime': '2023-06-08T19:15:30Z', 'Price': 233.31, 'Balance': -232.79000000000005, 'VolumeSum': 302.0}
{'Time': '2023-06-08T19:16:30Z', 'OrderTime': '2023-06-08T19:16:30Z', 'Price': 233.34, 'Balance': 0.5499999999999545, 'VolumeSum': -1700.0}
{'Time': '2023-06-08T19:18:30Z', 'OrderTime': '2023-06-08T19:18:30Z', 'Price': 233.44, 'Balance': -232.89000000000004, 'VolumeSum': 400.0}
{'Time': '2023-06-08T19:19:40Z', 'OrderTime': '2023-06-08T19:19:40Z', 'Price': 233.53, 'Balance': 0.6399999999999579, 'VolumeSum': -385.0}
{'Time': '2023-06-08T19:20:00Z', 'OrderTime': '2023-06-08T19:20:00Z', 'Price': 233.75, 'Balance': -233.11000000000004, 'VolumeSum': 303.0}
{'Time': '2023-06-08T19:20:10Z', 'OrderTime': '2023-06-08T19:20:10Z', 'Price': 233.84, 'Balance': 0.7299999999999613, 'VolumeSum': -944.0}
{'Time': '2023-06-08T19:25:10Z', 'OrderTime': '2023-06-08T19:25:10Z', 'Price': 234.41, 'Balance': -233.68000000000004, 'VolumeSum': 166.0}
{'Time': '2023-06-08T19:25:50Z', 'OrderTime': '2023-06-08T19:25:50Z', 'Price': 234.15, 'Balance': 0.46999999999997044, 'VolumeSum': -500.0}
{'Time': '2023-06-08T19:28:20Z', 'OrderTime': '2023-06-08T19:28:20Z', 'Price': 234.09, 'Balance': -233.62000000000003, 'VolumeSum': 149.0}
{'Time': '2023-06-08T19:28:30Z', 'OrderTime': '2023-06-08T19:28:30Z', 'Price': 234.06, 'Balance': 0.4399999999999693, 'VolumeSum': -509.0}
{'Time': '2023-06-08T19:31:40Z', 'OrderTime': '2023-06-08T19:31:40Z', 'Price': 234.08, 'Balance': -233.64000000000004, 'VolumeSum': 500.0}
{'Time': '2023-06-08T19:33:00Z', 'OrderTime': '2023-06-08T19:33:00Z', 'Price': 234.06, 'Balance': 0.4199999999999591, 'VolumeSum': -510.0}
{'Time': '2023-06-08T19:33:30Z', 'OrderTime': '2023-06-08T19:33:30Z', 'Price': 233.67, 'Balance': -233.25000000000003, 'VolumeSum': 1188.0}
{'Time': '2023-06-08T19:34:00Z', 'OrderTime': '2023-06-08T19:34:00Z', 'Price': 233.49, 'Balance': 0.23999999999998067, 'VolumeSum': -572.0}
{'Time': '2023-06-08T19:34:20Z', 'OrderTime': '2023-06-08T19:34:20Z', 'Price': 233.63, 'Balance': -233.39000000000001, 'VolumeSum': 852.0}
{'Time': '2023-06-08T19:37:10Z', 'OrderTime': '2023-06-08T19:37:10Z', 'Price': 234.05, 'Balance': 0.6599999999999966, 'VolumeSum': -55.0}
{'Time': '2023-06-08T19:37:30Z', 'OrderTime': '2023-06-08T19:37:30Z', 'Price': 234.02, 'Balance': -233.36, 'VolumeSum': 531.0}
{'Time': '2023-06-08T19:38:10Z', 'OrderTime': '2023-06-08T19:38:10Z', 'Price': 233.95, 'Balance': 0.589999999999975, 'VolumeSum': -442.0}
{'Time': '2023-06-08T19:38:30Z', 'OrderTime': '2023-06-08T19:38:30Z', 'Price': 233.94, 'Balance': -233.35000000000002, 'VolumeSum': 7.0}
{'Time': '2023-06-08T19:41:30Z', 'OrderTime': '2023-06-08T19:41:30Z', 'Price': 234.04, 'Balance': 0.6899999999999693, 'VolumeSum': -50.0}
{'Time': '2023-06-08T19:42:10Z', 'OrderTime': '2023-06-08T19:42:10Z', 'Price': 233.92, 'Balance': -233.23000000000002, 'VolumeSum': 1238.0}
{'Time': '2023-06-08T19:42:20Z', 'OrderTime': '2023-06-08T19:42:20Z', 'Price': 233.79, 'Balance': 0.5599999999999739, 'VolumeSum': -159.0}
{'Time': '2023-06-08T19:46:00Z', 'OrderTime': '2023-06-08T19:46:00Z', 'Price': 234.4, 'Balance': -233.84000000000003, 'VolumeSum': 753.0}
{'Time': '2023-06-08T19:47:30Z', 'OrderTime': '2023-06-08T19:47:30Z', 'Price': 234.53, 'Balance': 0.6899999999999693, 'VolumeSum': -247.0}
{'Time': '2023-06-08T19:48:30Z', 'OrderTime': '2023-06-08T19:48:30Z', 'Price': 234.74, 'Balance': -234.05000000000004, 'VolumeSum': 174.0}
{'Time': '2023-06-08T19:49:10Z', 'OrderTime': '2023-06-08T19:49:10Z', 'Price': 234.83, 'Balance': 0.7799999999999727, 'VolumeSum': -190.0}
{'Time': '2023-06-08T19:49:20Z', 'OrderTime': '2023-06-08T19:49:20Z', 'Price': 234.88, 'Balance': -234.10000000000002, 'VolumeSum': 430.0}
{'Time': '2023-06-08T19:50:20Z', 'OrderTime': '2023-06-08T19:50:20Z', 'Price': 234.91, 'Balance': 0.8099999999999739, 'VolumeSum': -200.0}
{'Time': '2023-06-08T19:50:30Z', 'OrderTime': '2023-06-08T19:50:30Z', 'Price': 234.96, 'Balance': -234.15000000000003, 'VolumeSum': 101.0}
{'Time': '2023-06-08T19:50:40Z', 'OrderTime': '2023-06-08T19:50:40Z', 'Price': 234.88, 'Balance': 0.7299999999999613, 'VolumeSum': -1019.0}
{'Time': '2023-06-08T19:50:50Z', 'OrderTime': '2023-06-08T19:50:50Z', 'Price': 234.87, 'Balance': -234.14000000000004, 'VolumeSum': 683.0}
{'Time': '2023-06-08T19:51:10Z', 'OrderTime': '2023-06-08T19:51:10Z', 'Price': 234.79, 'Balance': 0.6499999999999488, 'VolumeSum': -294.0}
{'Time': '2023-06-08T19:52:10Z', 'OrderTime': '2023-06-08T19:52:10Z', 'Price': 234.66, 'Balance': -234.01000000000005, 'VolumeSum': 583.0}
{'Time': '2023-06-08T19:54:10Z', 'OrderTime': '2023-06-08T19:54:10Z', 'Price': 234.88, 'Balance': 0.8699999999999477, 'VolumeSum': -339.0}
{'Time': '2023-06-08T19:59:50Z', 'OrderTime': '2023-06-08T19:59:50Z', 'Price': 234.88, 'Balance': -234.01000000000005, 'VolumeSum': 100.0}

{'Time': '2023-06-09T13:30:10Z', 'OrderTime': '2023-06-09T13:30:10Z', 'Price': 248.96, 'Balance': -248.96, 'VolumeSum': 100.0}
{'Time': '2023-06-09T13:30:30Z', 'OrderTime': '2023-06-09T13:30:30Z', 'Price': 248.74, 'Balance': -325.05999999999995, 'VolumeSum': -200.0}
{'Time': '2023-06-09T13:31:10Z', 'OrderTime': '2023-06-09T13:31:10Z', 'Price': 247.15, 'Balance': -77.75999999999996, 'VolumeSum': 0.0}
{'Time': '2023-06-09T14:03:30Z', 'OrderTime': '2023-06-09T14:03:30Z', 'Price': 248.33, 'Balance': -248.33, 'VolumeSum': 644.0}
{'Time': '2023-06-09T14:03:40Z', 'OrderTime': '2023-06-09T14:03:40Z', 'Price': 248.14, 'Balance': -0.19000000000002615, 'VolumeSum': -400.0}
{'Time': '2023-06-09T14:04:20Z', 'OrderTime': '2023-06-09T14:04:20Z', 'Price': 248.33, 'Balance': -248.52000000000004, 'VolumeSum': 200.0}
{'Time': '2023-06-09T14:09:10Z', 'OrderTime': '2023-06-09T14:09:10Z', 'Price': 247.92, 'Balance': -0.6000000000000512, 'VolumeSum': -489.0}
{'Time': '2023-06-09T14:09:40Z', 'OrderTime': '2023-06-09T14:09:40Z', 'Price': 248.22, 'Balance': -248.82000000000005, 'VolumeSum': 366.0}
{'Time': '2023-06-09T14:11:10Z', 'OrderTime': '2023-06-09T14:11:10Z', 'Price': 248.34, 'Balance': -0.4800000000000466, 'VolumeSum': -285.0}
{'Time': '2023-06-09T14:12:30Z', 'OrderTime': '2023-06-09T14:12:30Z', 'Price': 248.67, 'Balance': -249.15000000000003, 'VolumeSum': 222.0}
{'Time': '2023-06-09T14:13:00Z', 'OrderTime': '2023-06-09T14:13:00Z', 'Price': 248.56, 'Balance': -0.5900000000000318, 'VolumeSum': -659.0}
{'Time': '2023-06-09T14:14:30Z', 'OrderTime': '2023-06-09T14:14:30Z', 'Price': 251.32, 'Balance': -251.91000000000003, 'VolumeSum': 400.0}
{'Time': '2023-06-09T14:16:50Z', 'OrderTime': '2023-06-09T14:16:50Z', 'Price': 251.69, 'Balance': -0.22000000000002728, 'VolumeSum': -123.0}
{'Time': '2023-06-09T14:17:20Z', 'OrderTime': '2023-06-09T14:17:20Z', 'Price': 251.58, 'Balance': -251.80000000000004, 'VolumeSum': 950.0}
{'Time': '2023-06-09T14:17:50Z', 'OrderTime': '2023-06-09T14:17:50Z', 'Price': 251.5, 'Balance': -0.3000000000000398, 'VolumeSum': -567.0}
{'Time': '2023-06-09T14:21:20Z', 'OrderTime': '2023-06-09T14:21:20Z', 'Price': 251.8, 'Balance': -252.10000000000005, 'VolumeSum': 500.0}
{'Time': '2023-06-09T14:24:50Z', 'OrderTime': '2023-06-09T14:24:50Z', 'Price': 251.18, 'Balance': -0.9200000000000443, 'VolumeSum': -286.0}
{'Time': '2023-06-09T14:25:20Z', 'OrderTime': '2023-06-09T14:25:20Z', 'Price': 250.92, 'Balance': -251.84000000000003, 'VolumeSum': 1353.0}
{'Time': '2023-06-09T14:27:00Z', 'OrderTime': '2023-06-09T14:27:00Z', 'Price': 250.93, 'Balance': -0.910000000000025, 'VolumeSum': -853.0}
{'Time': '2023-06-09T14:28:30Z', 'OrderTime': '2023-06-09T14:28:30Z', 'Price': 250.51, 'Balance': -251.42000000000002, 'VolumeSum': 1054.0}
{'Time': '2023-06-09T14:28:40Z', 'OrderTime': '2023-06-09T14:28:40Z', 'Price': 250.65, 'Balance': -0.7700000000000102, 'VolumeSum': -208.0}
{'Time': '2023-06-09T14:31:10Z', 'OrderTime': '2023-06-09T14:31:10Z', 'Price': 251.25, 'Balance': -252.02, 'VolumeSum': 200.0}
{'Time': '2023-06-09T14:34:40Z', 'OrderTime': '2023-06-09T14:34:40Z', 'Price': 250.31, 'Balance': -1.710000000000008, 'VolumeSum': -1204.0}
{'Time': '2023-06-09T14:38:30Z', 'OrderTime': '2023-06-09T14:38:30Z', 'Price': 250.12, 'Balance': -251.83, 'VolumeSum': 163.0}
{'Time': '2023-06-09T14:40:10Z', 'OrderTime': '2023-06-09T14:40:10Z', 'Price': 249.56, 'Balance': -2.2700000000000102, 'VolumeSum': -1239.0}
{'Time': '2023-06-09T14:40:20Z', 'OrderTime': '2023-06-09T14:40:20Z', 'Price': 250.02, 'Balance': -252.29000000000002, 'VolumeSum': 4120.0}
{'Time': '2023-06-09T14:41:20Z', 'OrderTime': '2023-06-09T14:41:20Z', 'Price': 249.39, 'Balance': -2.900000000000034, 'VolumeSum': -100.0}
{'Time': '2023-06-09T14:41:30Z', 'OrderTime': '2023-06-09T14:41:30Z', 'Price': 249.65, 'Balance': -252.55000000000004, 'VolumeSum': 81.0}
{'Time': '2023-06-09T14:41:50Z', 'OrderTime': '2023-06-09T14:41:50Z', 'Price': 249.16, 'Balance': -3.390000000000043, 'VolumeSum': -1266.0}
{'Time': '2023-06-09T14:43:40Z', 'OrderTime': '2023-06-09T14:43:40Z', 'Price': 247.88, 'Balance': -251.27000000000004, 'VolumeSum': 143.0}
{'Time': '2023-06-09T14:46:40Z', 'OrderTime': '2023-06-09T14:46:40Z', 'Price': 247.81, 'Balance': -3.4600000000000364, 'VolumeSum': -125.0}
{'Time': '2023-06-09T14:47:00Z', 'OrderTime': '2023-06-09T14:47:00Z', 'Price': 247.79, 'Balance': -251.25000000000003, 'VolumeSum': 224.0}
{'Time': '2023-06-09T14:49:50Z', 'OrderTime': '2023-06-09T14:49:50Z', 'Price': 247.5, 'Balance': -3.7500000000000284, 'VolumeSum': -167.0}
{'Time': '2023-06-09T14:53:40Z', 'OrderTime': '2023-06-09T14:53:40Z', 'Price': 246.59, 'Balance': -250.34000000000003, 'VolumeSum': 744.0}
{'Time': '2023-06-09T14:54:50Z', 'OrderTime': '2023-06-09T14:54:50Z', 'Price': 247.41, 'Balance': -2.9300000000000352, 'VolumeSum': -1141.0}
{'Time': '2023-06-09T14:56:40Z', 'OrderTime': '2023-06-09T14:56:40Z', 'Price': 248.33, 'Balance': -251.26000000000005, 'VolumeSum': 1600.0}
{'Time': '2023-06-09T15:00:30Z', 'OrderTime': '2023-06-09T15:00:30Z', 'Price': 247.82, 'Balance': -247.82, 'VolumeSum': 162.0}
{'Time': '2023-06-09T15:09:30Z', 'OrderTime': '2023-06-09T15:09:30Z', 'Price': 249.56, 'Balance': 1.740000000000009, 'VolumeSum': -1100.0}
{'Time': '2023-06-09T15:10:20Z', 'OrderTime': '2023-06-09T15:10:20Z', 'Price': 249.88, 'Balance': -248.14, 'VolumeSum': 337.0}
{'Time': '2023-06-09T15:16:40Z', 'OrderTime': '2023-06-09T15:16:40Z', 'Price': 248.51, 'Balance': 0.37000000000000455, 'VolumeSum': -54.0}
{'Time': '2023-06-09T15:17:00Z', 'OrderTime': '2023-06-09T15:17:00Z', 'Price': 248.64, 'Balance': -248.26999999999998, 'VolumeSum': 328.0}
{'Time': '2023-06-09T15:17:10Z', 'OrderTime': '2023-06-09T15:17:10Z', 'Price': 248.28, 'Balance': 0.010000000000019327, 'VolumeSum': -273.0}
{'Time': '2023-06-09T15:22:10Z', 'OrderTime': '2023-06-09T15:22:10Z', 'Price': 247.99, 'Balance': -247.98, 'VolumeSum': 888.0}
{'Time': '2023-06-09T15:48:00Z', 'OrderTime': '2023-06-09T15:48:00Z', 'Price': 248.15, 'Balance': 0.17000000000001592, 'VolumeSum': -1300.0}
{'Time': '2023-06-09T16:03:20Z', 'OrderTime': '2023-06-09T16:03:20Z', 'Price': 246.17, 'Balance': -245.99999999999997, 'VolumeSum': 100.0}
{'Time': '2023-06-09T16:17:10Z', 'OrderTime': '2023-06-09T16:17:10Z', 'Price': 247.17, 'Balance': 1.170000000000016, 'VolumeSum': -53.0}
{'Time': '2023-06-09T16:18:50Z', 'OrderTime': '2023-06-09T16:18:50Z', 'Price': 246.61, 'Balance': -245.44, 'VolumeSum': 20.0}
{'Time': '2023-06-09T17:32:20Z', 'OrderTime': '2023-06-09T17:32:20Z', 'Price': 246.97, 'Balance': 1.5300000000000011, 'VolumeSum': -640.0}
{'Time': '2023-06-09T18:18:10Z', 'OrderTime': '2023-06-09T18:18:10Z', 'Price': 246.26, 'Balance': -244.73, 'VolumeSum': 100.0}
{'Time': '2023-06-09T18:38:10Z', 'OrderTime': '2023-06-09T18:38:10Z', 'Price': 244.92, 'Balance': 0.18999999999999773, 'VolumeSum': -200.0}
