High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus
12.24,12.23,12.24,12.23,2016-12-06T17:42:00Z,109245,19,56100,0,False,False,24,0,0,5,53145,1481046120000,Closed
12.23,12.22,12.23,12.22,2016-12-06T17:43:00Z,108420,19,53190,0,False,False,37,0,0,18,55230,1481046180000,Closed
12.22,12.22,12.22,12.22,2016-12-06T17:44:00Z,31500,3,6000,0,False,False,11,0,0,8,25500,1481046240000,Closed
12.22,12.21,12.22,12.21,2016-12-06T17:45:00Z,103425,17,63375,0,False,False,23,0,0,6,40050,1481046300000,Closed
12.23,12.22,12.22,12.23,2016-12-06T17:46:00Z,81045,1,1500,0,False,False,14,0,0,13,79545,1481046360000,Closed
12.24,12.23,12.23,12.23,2016-12-06T17:47:00Z,42000,10,15000,0,False,False,15,0,0,5,27000,1481046420000,Closed
12.24,12.23,12.23,12.24,2016-12-06T17:48:00Z,11250,2,5250,0,False,False,6,0,0,4,6000,1481046480000,Closed
12.24,12.24,12.24,12.24,2016-12-06T17:49:00Z,217470,13,60000,0,False,False,28,0,0,15,157470,1481046540000,Closed
12.24,12.23,12.24,12.24,2016-12-06T17:50:00Z,46500,8,27000,0,False,False,13,0,0,5,19500,1481046600000,Closed
12.24,12.23,12.23,12.23,2016-12-06T17:51:00Z,126285,6,58785,0,False,False,15,0,0,9,67500,1481046660000,Closed
12.24,12.23,12.23,12.24,2016-12-06T17:52:00Z,16500,1,1500,0,False,False,2,0,0,1,15000,1481046720000,Closed
12.23,12.23,12.23,12.23,2016-12-06T17:53:00Z,12885,4,6510,0,False,False,7,0,0,3,6375,1481046780000,Closed
