date,_id,curtime,gettime,symbol,tradetime,last,ask,asksize,bid,bidsize,volume,vwap,open,high,low,previousclose,previousvolume,netchange,netchangepct,lvl2,close,macd,macds,macdh,macd_cross,macd_sign,start,end,max,min,r,len,accum,peak,h_s
2023-06-05T13:30:00Z,647de3585869ec113f5e66e2,2023-06-05T13:30:00Z,2023-06-05T13:29:59Z,AMZN,2023-06-05T13:29:58Z,123.3,123.4,100.0,123.3,700.0,603048.0,0.0,0.0,0.0,0.0,124.25,61264414.0,-0.95,-0.0076,-365.8521659941368,123.3,0.0,0.0,0.0,0,0,2023-06-05T13:30:00Z,2023-06-05T13:30:00Z,0.0,0.0,0.0,0,0.0,2023-06-05T13:30:00Z,0.0
2023-06-05T13:30:10Z,647de3625869ec113f5e6795,2023-06-05T13:30:10Z,2023-06-05T13:30:09Z,AMZN,2023-06-05T13:30:09Z,123.18,123.19,200.0,123.14,100.0,1648713.0,123.22169344962,123.36,123.365,123.03,124.25,61264414.0,-1.07,-0.0086,1701.2149201012594,123.18,-0.0053846153846421885,-0.0029914529914678825,-0.002393162393174306,-1,-1,2023-06-05T13:30:10Z,2023-06-05T13:30:10Z,-0.002393162393174306,-0.002393162393174306,1.0,1,-0.002393162393174306,2023-06-05T13:30:10Z,-0.002393162393174306
2023-06-05T13:30:20Z,647de36c5869ec113f5e6861,2023-06-05T13:30:20Z,2023-06-05T13:30:19Z,AMZN,2023-06-05T13:30:19Z,123.55,123.55,200.0,123.51,500.0,1775935.0,123.233377875729,123.36,123.56,123.03,124.25,61264414.0,-0.7,-0.0056,345.7607434833076,123.55,0.01708155746587181,0.005235190638589367,0.011846366827282444,1,1,2023-06-05T13:30:20Z,2023-06-05T13:30:20Z,0.011846366827282444,0.011846366827282444,1.0,1,0.011846366827282444,2023-06-05T13:30:20Z,0.011846366827282444
2023-06-05T13:30:30Z,647de3765869ec113f5e6933,2023-06-05T13:30:30Z,2023-06-05T13:30:29Z,AMZN,2023-06-05T13:30:29Z,123.37,123.37,900.0,123.33,200.0,1864437.0,123.25384133584,123.36,123.63,123.03,124.25,61264414.0,-0.88,-0.0071,-1059.9670968307282,123.37,0.011487036810578388,0.007353024707691339,0.004134012102887049,0,1,2023-06-05T13:30:20Z,2023-06-05T13:30:30Z,0.011846366827282444,0.004134012102887049,0.3489687735623995,2,0.015980378930169493,2023-06-05T13:30:20Z,0.004134012102887049
2023-06-05T13:30:40Z,647de3805869ec113f5e69fe,2023-06-05T13:30:40Z,2023-06-05T13:30:39Z,AMZN,2023-06-05T13:30:39Z,123.4907,123.5,100.0,123.47,200.0,1933168.0,123.259130574521,123.36,123.63,123.03,124.25,61264414.0,-0.7593,-0.0061,322.41294595825866,123.4907,0.018504579064355653,0.010670360011315896,0.007834219053039757,0,1,2023-06-05T13:30:20Z,2023-06-05T13:30:40Z,0.011846366827282444,0.004134012102887049,0.6613182900091678,3,0.02381459798320925,2023-06-05T13:30:20Z,0.007834219053039757
2023-06-05T13:30:50Z,647de38a5869ec113f5e6ad1,2023-06-05T13:30:50Z,2023-06-05T13:30:49Z,AMZN,2023-06-05T13:30:49Z,123.5989,123.6,1100.0,123.57,500.0,2036001.0,123.277367290282,123.36,123.63,123.03,124.25,61264414.0,-0.6511,-0.0052,-162.96230396449144,123.5989,0.0312790562982741,0.01625646252642947,0.01502259377184463,0,1,2023-06-05T13:30:20Z,2023-06-05T13:30:50Z,0.01502259377184463,0.004134012102887049,1.0,4,0.03883719175505388,2023-06-05T13:30:50Z,0.01502259377184463
2023-06-05T13:31:00Z,647de3945869ec113f5e6ba0,2023-06-05T13:31:00Z,2023-06-05T13:30:59Z,AMZN,2023-06-05T13:30:58Z,123.56,123.55,400.0,123.51,100.0,2165665.0,123.299336537594,123.36,123.63,123.03,124.25,61264414.0,-0.69,-0.0056,719.375126767306,123.56,0.032959484000372186,0.020483551665419035,0.01247593233495315,0,1,2023-06-05T13:30:20Z,2023-06-05T13:31:00Z,0.01502259377184463,0.004134012102887049,0.830477913763172,5,0.05131312409000703,2023-06-05T13:30:50Z,0.01247593233495315
2023-06-05T13:31:10Z,647de39e5869ec113f5e6c73,2023-06-05T13:31:10Z,2023-06-05T13:31:09Z,AMZN,2023-06-05T13:31:09Z,123.3474,123.37,200.0,123.34,200.0,2214836.0,123.301423733377,123.36,123.63,123.03,124.25,61264414.0,-0.9026,-0.0073,483.21840094100065,123.3474,0.01012772196141043,0.01799485104612502,-0.00786712908471459,-1,-1,2023-06-05T13:31:10Z,2023-06-05T13:31:10Z,-0.00786712908471459,-0.00786712908471459,1.0,1,-0.00786712908471459,2023-06-05T13:31:10Z,-0.00786712908471459
2023-06-05T13:31:20Z,647de3a85869ec113f5e6d44,2023-06-05T13:31:20Z,2023-06-05T13:31:19Z,AMZN,2023-06-05T13:31:18Z,123.33,123.33,300.0,123.3,400.0,2244459.0,123.302853249366,123.36,123.63,123.03,124.25,61264414.0,-0.92,-0.0074,566.8766084690561,123.33,-0.005467729966696311,0.012574878433698665,-0.018042608400394976,0,-1,2023-06-05T13:31:10Z,2023-06-05T13:31:20Z,-0.00786712908471459,-0.018042608400394976,1.0,2,-0.025909737485109566,2023-06-05T13:31:20Z,-0.018042608400394976
2023-06-05T13:31:30Z,647de3b25869ec113f5e6e15,2023-06-05T13:31:30Z,2023-06-05T13:31:29Z,AMZN,2023-06-05T13:31:28Z,123.44,123.45,100.0,123.42,300.0,2285262.0,123.305368319552,123.36,123.63,123.03,124.25,61264414.0,-0.81,-0.0065,173.2394967359232,123.44,-0.0018557560891139246,0.009341578603404224,-0.011197334692518148,0,-1,2023-06-05T13:31:10Z,2023-06-05T13:31:30Z,-0.00786712908471459,-0.018042608400394976,0.6206050945645434,3,-0.037107072177627716,2023-06-05T13:31:20Z,-0.011197334692518148
2023-06-05T13:31:40Z,647de3bc5869ec113f5e6ee5,2023-06-05T13:31:40Z,2023-06-05T13:31:39Z,AMZN,2023-06-05T13:31:38Z,123.4885,123.49,200.0,123.45,200.0,2316335.0,123.30883456463,123.36,123.63,123.03,124.25,61264414.0,-0.7615,-0.0061,-51.77386544662674,123.4885,0.006096259806213311,0.008631521394123003,-0.002535261587909692,0,-1,2023-06-05T13:31:10Z,2023-06-05T13:31:40Z,-0.002535261587909692,-0.018042608400394976,0.1405152476653094,4,-0.039642333765537406,2023-06-05T13:31:20Z,-0.002535261587909692
2023-06-05T13:31:50Z,647de3c65869ec113f5e6fa7,2023-06-05T13:31:50Z,2023-06-05T13:31:49Z,AMZN,2023-06-05T13:31:49Z,123.7399,123.74,500.0,123.71,100.0,2395783.0,123.32577427359,123.36,123.8,123.03,124.25,61264414.0,-0.5101,-0.0041,361.09197380803965,123.7399,0.04111012754214016,0.0156065638945684,0.02550356364757176,1,1,2023-06-05T13:31:50Z,2023-06-05T13:31:50Z,0.02550356364757176,0.02550356364757176,1.0,1,0.02550356364757176,2023-06-05T13:31:50Z,0.02550356364757176
2023-06-05T13:32:00Z,647de3d05869ec113f5e7064,2023-06-05T13:32:00Z,2023-06-05T13:31:58Z,AMZN,2023-06-05T13:31:58Z,123.7301,123.75,100.0,123.73,300.0,2429926.0,123.333158454568,123.36,123.8,123.03,124.25,61264414.0,-0.5199,-0.0042,77.79634675817357,123.7301,0.059282458545979466,0.024849900636193932,0.034432557909785534,0,1,2023-06-05T13:31:50Z,2023-06-05T13:32:00Z,0.034432557909785534,0.02550356364757176,1.0,2,0.059936121557357294,2023-06-05T13:32:00Z,0.034432557909785534
