Symbol,Open,High,Low,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
TSLA,0,0,0,199.36,199.4,400,199.35,200,118088,2023-05-31T08:45:39Z
TSLA,0,0,0,199.36,199.36,100,199.35,200,118189,2023-05-31T08:46:06Z
TSLA,0,0,0,199.35,199.36,200,199.32,100,118589,2023-05-31T08:46:12Z
TSLA,0,0,0,199.35,199.36,200,199.32,100,118633,2023-05-31T08:46:12Z
TSLA,0,0,0,199.33,199.36,200,199.32,100,118938,2023-05-31T08:46:31Z
TSLA,0,0,0,199.33,199.36,200,199.32,100,119053,2023-05-31T08:46:31Z
TSLA,0,0,0,199.33,199.36,200,199.32,100,119214,2023-05-31T08:46:31Z
TSLA,0,0,0,199.32,199.36,200,199.31,100,119461,2023-05-31T08:46:57Z
TSLA,0,0,0,199.36,199.36,100,199.31,200,119739,2023-05-31T08:47:12Z
TSLA,0,0,0,199.4,199.4,100,199.35,700,120339,2023-05-31T08:47:22Z
TSLA,0,0,0,199.4,199.49,100,199.35,700,120793,2023-05-31T08:47:32Z
TSLA,0,0,0,199.4,199.45,100,199.36,200,120886,2023-05-31T08:47:32Z
TSLA,0,0,0,199.44,199.45,100,199.43,100,121186,2023-05-31T08:47:53Z
TSLA,0,0,0,199.44,199.45,100,199.36,200,121317,2023-05-31T08:47:53Z
TSLA,0,0,0,199.44,199.46,100,199.36,200,121822,2023-05-31T08:47:53Z
TSLA,0,0,0,199.44,199.45,100,199.36,200,121822,2023-05-31T08:47:53Z
TSLA,0,0,0,199.44,199.45,100,199.36,200,121822,2023-05-31T08:47:53Z
TSLA,0,0,0,199.35,199.41,100,199.35,400,121941,2023-05-31T08:48:43Z
TSLA,0,0,0,199.37,199.41,100,199.31,300,122692,2023-05-31T08:48:48Z
TSLA,0,0,0,199.21,199.24,100,199.19,100,124091,2023-05-31T08:49:02Z
TSLA,0,0,0,199.28,199.28,2300,199.21,200,124490,2023-05-31T08:49:06Z
TSLA,0,0,0,199.28,199.28,2300,199.21,200,124600,2023-05-31T08:49:17Z
TSLA,0,0,0,199.28,199.28,2300,199.21,200,124737,2023-05-31T08:49:17Z
TSLA,0,0,0,199.28,199.28,2300,199.22,100,124741,2023-05-31T08:49:17Z
TSLA,0,0,0,199.28,199.28,2300,199.21,200,124751,2023-05-31T08:49:17Z
TSLA,0,0,0,199.22,199.28,2500,199.23,200,124901,2023-05-31T08:49:56Z
TSLA,0,0,0,199.26,199.26,100,199.23,100,125040,2023-05-31T08:50:16Z
TSLA,0,0,0,199.28,199.45,100,199.32,100,127745,2023-05-31T08:50:24Z
TSLA,0,0,0,199.3,199.41,100,199.27,100,128255,2023-05-31T08:50:32Z
TSLA,0,0,0,199.3,199.39,100,199.24,100,128533,2023-05-31T08:50:32Z
TSLA,0,0,0,199.3,199.42,100,199.29,100,128633,2023-05-31T08:50:32Z
TSLA,0,0,0,199.29,199.38,100,199.23,100,128885,2023-05-31T08:51:03Z
TSLA,0,0,0,199.34,199.43,100,199.24,100,129104,2023-05-31T08:51:12Z
TSLA,0,0,0,199.34,199.43,100,199.29,200,129105,2023-05-31T08:51:12Z
TSLA,0,0,0,199.34,199.45,100,199.29,200,129135,2023-05-31T08:51:12Z
TSLA,0,0,0,199.34,199.46,100,199.31,200,129145,2023-05-31T08:51:12Z
TSLA,0,0,0,199.34,199.46,100,199.34,100,129146,2023-05-31T08:51:12Z
TSLA,0,0,0,199.34,199.45,100,199.33,100,129868,2023-05-31T08:52:00Z
TSLA,0,0,0,199.34,199.44,100,199.34,100,129872,2023-05-31T08:52:00Z
TSLA,0,0,0,199.34,199.44,100,199.42,200,130011,2023-05-31T08:52:00Z
TSLA,0,0,0,199.34,199.44,100,199.42,100,130074,2023-05-31T08:52:00Z
TSLA,0,0,0,199.44,199.49,100,199.44,100,130347,2023-05-31T08:52:39Z
TSLA,0,0,0,199.44,199.49,100,199.44,100,130358,2023-05-31T08:52:39Z
TSLA,0,0,0,199.44,199.53,100,199.42,100,131116,2023-05-31T08:52:39Z
TSLA,0,0,0,199.44,199.55,200,199.42,100,131473,2023-05-31T08:52:39Z
TSLA,0,0,0,199.49,199.55,200,199.42,100,131754,2023-05-31T08:53:26Z
TSLA,0,0,0,199.49,199.55,200,199.42,100,131863,2023-05-31T08:53:34Z
TSLA,0,0,0,199.49,199.55,200,199.44,100,131911,2023-05-31T08:53:34Z
TSLA,0,0,0,199.49,199.53,100,199.42,100,131967,2023-05-31T08:53:34Z
TSLA,0,0,0,199.45,199.54,100,199.42,100,132298,2023-05-31T08:54:02Z
TSLA,0,0,0,199.45,199.53,100,199.42,100,132348,2023-05-31T08:54:02Z
TSLA,0,0,0,199.45,199.53,100,199.42,100,132460,2023-05-31T08:54:02Z
