,_id_x,CurTime,GetTime_x,Symbol,TradeTime,Last,Ask,AskSize,Bid,BidSize,Volume,VWAP,Open,High,Low,PreviousClose,PreviousVolume,NetChange,NetChangePct,_id_y,GetTime_y,EarliestTime,LatestTime,Side,Price,TotalSize,BiggestSize,SmallestSize,NumParticipants,TotalOrderCount,Dif
104,64808680323df6bf8bf61be8,2023-06-07T13:30:40Z,2023-06-07T13:30:38Z,TSLA,2023-06-07T13:30:38Z,227.32,227.4,600.0,227.32,200.0,6631513.0,227.8219273201,228.0,228.49001,227.08,221.31,146911576.0,6.01,0.0272,64808680323df6bf8bf61c6a,2023-06-07T13:30:39Z,2023-06-07T13:30:36Z,2023-06-07T13:30:36Z,Ask,227.13,-49.0,49.0,49.0,1.0,1.0,0.18999999999999773
177,6480869e323df6bf8bf61e65,2023-06-07T13:31:10Z,2023-06-07T13:31:09Z,TSLA,2023-06-07T13:31:09Z,227.9994,228.01,100.0,227.92,200.0,7607479.0,228.054187073792,228.0,228.99001,227.08,221.31,146911576.0,6.6894,0.0302,6480869e323df6bf8bf61edf,2023-06-07T13:31:09Z,2023-06-07T13:31:09Z,2023-06-07T13:31:09Z,Ask,227.98,-400.0,400.0,400.0,1.0,1.0,0.019400000000018736
191,648086a8323df6bf8bf61f34,2023-06-07T13:31:20Z,2023-06-07T13:31:19Z,TSLA,2023-06-07T13:31:19Z,227.11,227.16,100.0,227.08,100.0,7870119.0,228.004258925287,228.0,228.99001,227.08,221.31,146911576.0,5.8,0.0262,648086a8323df6bf8bf61f2e,2023-06-07T13:31:19Z,2023-06-07T13:31:19Z,2023-06-07T13:31:19Z,Bid,227.17,672.0,672.0,672.0,1.0,3.0,0.05999999999997385
192,648086a8323df6bf8bf61f34,2023-06-07T13:31:20Z,2023-06-07T13:31:19Z,TSLA,2023-06-07T13:31:19Z,227.11,227.16,100.0,227.08,100.0,7870119.0,228.004258925287,228.0,228.99001,227.08,221.31,146911576.0,5.8,0.0262,648086a8323df6bf8bf61f3b,2023-06-07T13:31:19Z,2023-06-07T13:31:19Z,2023-06-07T13:31:19Z,Bid,227.13,600.0,300.0,300.0,2.0,2.0,0.01999999999998181
193,648086a8323df6bf8bf61f34,2023-06-07T13:31:20Z,2023-06-07T13:31:19Z,TSLA,2023-06-07T13:31:19Z,227.11,227.16,100.0,227.08,100.0,7870119.0,228.004258925287,228.0,228.99001,227.08,221.31,146911576.0,5.8,0.0262,648086a8323df6bf8bf61f45,2023-06-07T13:31:19Z,2023-06-07T13:31:19Z,2023-06-07T13:31:19Z,Bid,227.12,100.0,100.0,100.0,1.0,1.0,0.009999999999990905
215,648086b2323df6bf8bf62001,2023-06-07T13:31:30Z,2023-06-07T13:31:29Z,TSLA,2023-06-07T13:31:29Z,227.6606,227.7,400.0,227.66,100.0,8070611.0,227.962100029622,228.0,228.99001,227.08,221.31,146911576.0,6.3506,0.0287,648086b2323df6bf8bf61ffb,2023-06-07T13:31:29Z,2023-06-07T13:31:29Z,2023-06-07T13:31:29Z,Bid,227.7,300.0,300.0,300.0,1.0,1.0,0.039400000000000546
242,648086bc323df6bf8bf620da,2023-06-07T13:31:40Z,2023-06-07T13:31:39Z,TSLA,2023-06-07T13:31:39Z,228.145,228.19,500.0,228.12,100.0,8340198.0,227.940978501479,228.0,228.99001,227.0,221.31,146911576.0,6.835,0.0309,648086bc323df6bf8bf620d4,2023-06-07T13:31:39Z,2023-06-07T13:31:39Z,2023-06-07T13:31:39Z,Bid,228.2,30.0,30.0,30.0,1.0,1.0,0.0549999999999784
320,648086da323df6bf8bf62337,2023-06-07T13:32:10Z,2023-06-07T13:32:09Z,TSLA,2023-06-07T13:32:09Z,228.14,228.17,200.0,228.11,100.0,8874291.0,227.941674274629,228.0,228.99001,227.0,221.31,146911576.0,6.83,0.0309,648086da323df6bf8bf623a4,2023-06-07T13:32:10Z,2023-06-07T13:32:10Z,2023-06-07T13:32:10Z,Ask,227.91,-100.0,100.0,100.0,1.0,1.0,0.22999999999998977
321,648086da323df6bf8bf62337,2023-06-07T13:32:10Z,2023-06-07T13:32:09Z,TSLA,2023-06-07T13:32:09Z,228.14,228.17,200.0,228.11,100.0,8874291.0,227.941674274629,228.0,228.99001,227.0,221.31,146911576.0,6.83,0.0309,648086da323df6bf8bf623ad,2023-06-07T13:32:10Z,2023-06-07T13:32:10Z,2023-06-07T13:32:10Z,Ask,227.94,-100.0,100.0,100.0,1.0,1.0,0.19999999999998863
322,648086da323df6bf8bf62337,2023-06-07T13:32:10Z,2023-06-07T13:32:09Z,TSLA,2023-06-07T13:32:09Z,228.14,228.17,200.0,228.11,100.0,8874291.0,227.941674274629,228.0,228.99001,227.0,221.31,146911576.0,6.83,0.0309,648086da323df6bf8bf623b7,2023-06-07T13:32:10Z,2023-06-07T13:32:10Z,2023-06-07T13:32:10Z,Ask,227.95,-300.0,300.0,300.0,1.0,1.0,0.18999999999999773
323,648086da323df6bf8bf62337,2023-06-07T13:32:10Z,2023-06-07T13:32:09Z,TSLA,2023-06-07T13:32:09Z,228.14,228.17,200.0,228.11,100.0,8874291.0,227.941674274629,228.0,228.99001,227.0,221.31,146911576.0,6.83,0.0309,648086da323df6bf8bf623c0,2023-06-07T13:32:10Z,2023-06-07T13:32:10Z,2023-06-07T13:32:10Z,Ask,227.96,-34.0,34.0,34.0,1.0,1.0,0.1799999999999784
324,648086da323df6bf8bf62337,2023-06-07T13:32:10Z,2023-06-07T13:32:09Z,TSLA,2023-06-07T13:32:09Z,228.14,228.17,200.0,228.11,100.0,8874291.0,227.941674274629,228.0,228.99001,227.0,221.31,146911576.0,6.83,0.0309,648086da323df6bf8bf623c8,2023-06-07T13:32:10Z,2023-06-07T13:32:10Z,2023-06-07T13:32:10Z,Ask,228.06,-200.0,200.0,200.0,1.0,1.0,0.07999999999998408
333,648086e4323df6bf8bf6240e,2023-06-07T13:32:20Z,2023-06-07T13:32:19Z,TSLA,2023-06-07T13:32:19Z,227.638,227.68,100.0,227.62,100.0,9018083.0,227.932777434566,228.0,228.99001,227.0,221.31,146911576.0,6.328,0.0286,648086e4323df6bf8bf62408,2023-06-07T13:32:19Z,2023-06-07T13:32:19Z,2023-06-07T13:32:19Z,Bid,227.72,120.0,100.0,20.0,2.0,2.0,0.08199999999999363
334,648086e4323df6bf8bf6240e,2023-06-07T13:32:20Z,2023-06-07T13:32:19Z,TSLA,2023-06-07T13:32:19Z,227.638,227.68,100.0,227.62,100.0,9018083.0,227.932777434566,228.0,228.99001,227.0,221.31,146911576.0,6.328,0.0286,648086e4323df6bf8bf62416,2023-06-07T13:32:19Z,2023-06-07T13:32:19Z,2023-06-07T13:32:19Z,Bid,227.71,100.0,100.0,100.0,1.0,1.0,0.07200000000000273
335,648086e4323df6bf8bf6240e,2023-06-07T13:32:20Z,2023-06-07T13:32:19Z,TSLA,2023-06-07T13:32:19Z,227.638,227.68,100.0,227.62,100.0,9018083.0,227.932777434566,228.0,228.99001,227.0,221.31,146911576.0,6.328,0.0286,648086e4323df6bf8bf6241e,2023-06-07T13:32:19Z,2023-06-07T13:32:19Z,2023-06-07T13:32:19Z,Bid,227.69,100.0,100.0,100.0,1.0,1.0,0.0519999999999925
336,648086e4323df6bf8bf6240e,2023-06-07T13:32:20Z,2023-06-07T13:32:19Z,TSLA,2023-06-07T13:32:19Z,227.638,227.68,100.0,227.62,100.0,9018083.0,227.932777434566,228.0,228.99001,227.0,221.31,146911576.0,6.328,0.0286,648086e4323df6bf8bf6242d,2023-06-07T13:32:19Z,2023-06-07T13:32:19Z,2023-06-07T13:32:19Z,Bid,227.68,100.0,100.0,100.0,1.0,1.0,0.04200000000000159
