,TradeTime,Last,Ask,Bid,VolumeSum,Sign,Sign Change,Balance Change,Short Balance Change,Rounded Last,Last Balance Change
0,2023-06-07T13:30:09Z,389.67,389.85,389.65,-106.0,False,,,,389.67,
1,2023-06-07T13:30:19Z,390.664,390.76,390.57,-25.0,False,0,,,390.66,
2,2023-06-07T13:30:29Z,390.57,390.62,390.52,-2146.0,False,0,,,390.57,
3,2023-06-07T13:30:38Z,390.6699,390.67,390.48,-50.0,False,0,,,390.66,
4,2023-06-07T13:30:49Z,390.95,390.95,390.75,-432.0,False,0,,,390.95,
5,2023-06-07T13:31:09Z,391.55,391.59,391.5,-325.0,False,0,,,391.55,
6,2023-06-07T13:31:39Z,392.3501,392.5,392.35,1.0,True,1,-392.5,-392.5,392.35,-392.35
7,2023-06-07T13:32:09Z,392.74,392.8,392.68,30.0,True,0,,,392.74,
8,2023-06-07T13:33:29Z,394.11,394.25,394.11,300.0,True,0,,,394.11,
9,2023-06-07T13:34:28Z,394.215,394.31,394.12,-40.0,False,-1,394.12,394.12,394.21,394.21
10,2023-06-07T13:34:49Z,393.7668,393.98,393.73,325.0,True,1,-393.98,-393.98,393.76,-393.76
11,2023-06-07T13:34:59Z,394.19,394.32,394.13,351.0,True,0,,,394.19,
12,2023-06-07T13:35:19Z,393.8,393.9,393.79,-114.0,False,-1,393.79,393.79,393.8,393.8
13,2023-06-07T13:35:29Z,393.6699,393.68,393.41,-125.0,False,0,,,393.66,
14,2023-06-07T13:36:18Z,393.35,393.48,393.32,201.0,True,1,-393.48,-393.48,393.35,-393.35
15,2023-06-07T13:37:39Z,393.0146,393.16,393.0,-311.0,False,-1,393.0,393.0,393.01,393.01
16,2023-06-07T13:38:59Z,392.435,392.34,392.15,-325.0,False,0,,,392.43,
17,2023-06-07T13:40:09Z,391.659,391.68,391.5,-267.0,False,0,,,391.65,
18,2023-06-07T13:40:19Z,391.766,391.79,391.65,-225.0,False,0,,,391.76,
19,2023-06-07T13:40:39Z,391.59,391.8,391.57,11.0,True,1,-391.8,-391.8,391.59,-391.59
20,2023-06-07T13:41:59Z,393.2,393.28,393.23,502.0,True,0,,,393.2,
21,2023-06-07T13:42:09Z,392.75,392.94,392.75,57.0,True,0,,,392.75,
22,2023-06-07T13:42:29Z,392.5198,392.52,392.4,-14.0,False,-1,392.4,392.4,392.51,392.51
23,2023-06-07T13:43:08Z,392.77,392.95,392.74,525.0,True,1,-392.95,-392.95,392.77,-392.77
24,2023-06-07T13:43:58Z,393.4653,393.51,393.37,-47.0,False,-1,393.37,393.37,393.46,393.46
25,2023-06-07T13:44:28Z,393.56,393.74,393.56,125.0,True,1,-393.74,-393.74,393.56,-393.56
26,2023-06-07T13:44:38Z,393.39,393.53,393.32,1.0,True,0,,,393.39,
27,2023-06-07T13:45:09Z,393.66,393.67,393.5,7.0,True,0,,,393.66,
28,2023-06-07T13:45:38Z,394.11,394.17,394.02,-607.0,False,-1,394.02,394.02,394.11,394.11
29,2023-06-07T13:46:08Z,393.73,393.84,393.65,-37.0,False,0,,,393.73,
30,2023-06-07T13:48:27Z,393.685,393.78,393.66,25.0,True,1,-393.78,-393.78,393.68,-393.68
31,2023-06-07T13:49:59Z,393.87,393.97,393.82,-10.0,False,-1,393.82,393.82,393.87,393.87
32,2023-06-07T13:51:18Z,394.98,394.98,394.88,-559.0,False,0,,,394.98,
33,2023-06-07T13:52:39Z,394.1575,394.22,393.97,-4.0,False,0,,,394.15,
34,2023-06-07T13:52:58Z,394.265,394.35,394.16,247.0,True,1,-394.35,-394.35,394.26,-394.26
35,2023-06-07T13:53:18Z,394.37,394.42,394.27,334.0,True,0,,,394.37,
36,2023-06-07T13:53:38Z,393.3101,393.46,393.31,-37.0,False,-1,393.31,393.31,393.31,393.31
37,2023-06-07T13:53:48Z,392.6793,392.79,392.65,409.0,True,1,-392.79,-392.79,392.67,-392.67
38,2023-06-07T13:53:58Z,393.17,393.4,393.14,36.0,True,0,,,393.17,
39,2023-06-07T13:54:18Z,392.8925,392.92,392.81,-410.0,False,-1,392.81,392.81,392.89,392.89
40,2023-06-07T13:54:58Z,392.01,392.14,392.0,100.0,True,1,-392.14,-392.14,392.01,-392.01
41,2023-06-07T13:56:18Z,393.3105,393.33,393.13,-255.0,False,-1,393.13,393.13,393.31,393.31
42,2023-06-07T13:56:48Z,392.41,392.48,392.34,-31.0,False,0,,,392.41,
43,2023-06-07T13:58:29Z,392.0599,391.99,391.96,-100.0,False,0,,,392.05,
44,2023-06-07T13:58:59Z,391.8607,391.87,391.75,-15.0,False,0,,,391.86,
45,2023-06-07T13:59:38Z,392.081,392.23,392.08,30.0,True,1,-392.23,-392.23,392.08,-392.08
46,2023-06-07T14:00:59Z,392.8,392.86,392.64,-136.0,False,-1,392.64,392.64,392.8,392.8
47,2023-06-07T14:02:08Z,392.5876,392.78,392.63,130.0,True,1,-392.78,-392.78,392.58,-392.58
48,2023-06-07T14:04:38Z,391.3,391.34,391.26,211.0,True,0,,,391.3,
49,2023-06-07T14:05:19Z,392.0628,392.13,392.03,-8.0,False,-1,392.03,392.03,392.06,392.06
50,2023-06-07T14:05:39Z,392.13,392.18,392.04,10.0,True,1,-392.18,-392.18,392.13,-392.13
51,2023-06-07T14:05:48Z,392.0,391.93,391.85,-33.0,False,-1,391.85,391.85,392.0,392.0
52,2023-06-07T14:06:09Z,392.23,392.28,392.13,-28.0,False,0,,,392.23,
53,2023-06-07T14:07:49Z,392.33,392.35,392.21,-6.0,False,0,,,392.33,
54,2023-06-07T14:08:19Z,391.98,392.15,391.98,13.0,True,1,-392.15,-392.15,391.98,-391.98
55,2023-06-07T14:08:47Z,392.18,392.16,392.07,-72.0,False,-1,392.07,392.07,392.18,392.18
56,2023-06-07T14:10:09Z,392.21,392.33,392.2,33.0,True,1,-392.33,-392.33,392.21,-392.21
57,2023-06-07T14:11:29Z,393.9343,393.98,393.86,6.0,True,0,,,393.93,
58,2023-06-07T14:12:48Z,393.38,393.45,393.25,-31.0,False,-1,393.25,393.25,393.38,393.38
59,2023-06-07T14:12:58Z,393.41,393.39,393.21,-107.0,False,0,,,393.41,
60,2023-06-07T14:13:49Z,393.51,393.57,393.45,-425.0,False,0,,,393.51,
61,2023-06-07T14:14:28Z,392.995,393.03,392.92,210.0,True,1,-393.03,-393.03,392.99,-392.99
62,2023-06-07T14:14:37Z,392.81,392.94,392.82,61.0,True,0,,,392.81,
63,2023-06-07T14:15:19Z,391.66,391.67,391.51,17.0,True,0,,,391.66,
64,2023-06-07T14:15:29Z,391.865,391.97,391.76,-427.0,False,-1,391.76,391.76,391.86,391.86
65,2023-06-07T14:15:48Z,391.225,391.34,391.21,16.0,True,1,-391.34,-391.34,391.22,-391.22
66,2023-06-07T14:16:08Z,391.19,391.25,391.13,-400.0,False,-1,391.13,391.13,391.19,391.19
67,2023-06-07T14:16:19Z,391.25,391.44,391.26,19.0,True,1,-391.44,-391.44,391.25,-391.25
68,2023-06-07T14:17:17Z,391.61,391.63,391.5,-332.0,False,-1,391.5,391.5,391.61,391.61
69,2023-06-07T14:17:29Z,391.19,391.25,391.11,32.0,True,1,-391.25,-391.25,391.19,-391.19
70,2023-06-07T14:17:58Z,391.585,391.72,391.58,105.0,True,0,,,391.58,
71,2023-06-07T14:18:38Z,391.365,391.43,391.3,-312.0,False,-1,391.3,391.3,391.36,391.36
72,2023-06-07T14:18:58Z,391.4659,391.48,391.33,-31.0,False,0,,,391.46,
73,2023-06-07T14:19:08Z,391.12,391.23,391.1,31.0,True,1,-391.23,-391.23,391.12,-391.12
74,2023-06-07T14:19:49Z,390.8,390.98,390.81,32.0,True,0,,,390.8,
75,2023-06-07T14:20:48Z,390.852,390.98,390.84,309.0,True,0,,,390.85,
76,2023-06-07T14:22:19Z,389.97,390.1,389.97,32.0,True,0,,,389.97,
77,2023-06-07T14:22:39Z,389.825,389.85,389.8,482.0,True,0,,,389.82,
78,2023-06-07T14:22:49Z,389.8625,389.8,389.72,-42.0,False,-1,389.72,389.72,389.86,389.86
79,2023-06-07T14:23:39Z,389.64,389.78,389.64,132.0,True,1,-389.78,-389.78,389.64,-389.64
80,2023-06-07T14:25:09Z,388.46,388.56,388.46,507.0,True,0,,,388.46,
81,2023-06-07T14:26:28Z,388.938,388.95,388.83,200.0,True,0,,,388.93,
82,2023-06-07T14:26:38Z,389.0053,389.1,388.92,-332.0,False,-1,388.92,388.92,389.0,389.0
83,2023-06-07T14:27:17Z,388.4501,388.59,388.45,125.0,True,1,-388.59,-388.59,388.45,-388.45
84,2023-06-07T14:28:17Z,388.79,388.86,388.72,-531.0,False,-1,388.72,388.72,388.79,388.79
85,2023-06-07T14:28:39Z,388.58,388.61,388.52,200.0,True,1,-388.61,-388.61,388.58,-388.58
86,2023-06-07T14:28:58Z,388.905,388.97,388.84,814.0,True,0,,,388.9,
87,2023-06-07T14:29:49Z,389.404,389.43,389.32,-560.0,False,-1,389.32,389.32,389.4,389.4
88,2023-06-07T14:31:27Z,389.27,389.26,389.15,-537.0,False,0,,,389.27,
89,2023-06-07T14:31:49Z,389.34,389.34,389.22,221.0,True,1,-389.34,-389.34,389.34,-389.34
90,2023-06-07T14:36:28Z,387.06,387.12,387.02,-500.0,False,-1,387.02,387.02,387.06,387.06
91,2023-06-07T14:37:48Z,386.01,386.09,386.01,414.0,True,1,-386.09,-386.09,386.01,-386.01
92,2023-06-07T14:37:59Z,385.8927,385.95,385.84,232.0,True,0,,,385.89,
93,2023-06-07T14:40:38Z,386.6204,386.65,386.59,1.0,True,0,,,386.62,
94,2023-06-07T14:42:29Z,386.02,386.04,386.0,-835.0,False,-1,386.0,386.0,386.02,386.02
95,2023-06-07T14:42:48Z,385.785,385.81,385.74,-401.0,False,0,,,385.78,
96,2023-06-07T14:42:58Z,385.47,385.51,385.41,-415.0,False,0,,,385.47,
97,2023-06-07T14:44:28Z,385.35,385.38,385.28,206.0,True,1,-385.38,-385.38,385.35,-385.35
98,2023-06-07T14:45:08Z,385.5367,385.57,385.5,311.0,True,0,,,385.53,
99,2023-06-07T14:45:49Z,385.11,385.16,385.08,312.0,True,0,,,385.11,
100,2023-06-07T14:46:09Z,384.81,384.89,384.78,75.0,True,0,,,384.81,
101,2023-06-07T14:46:29Z,385.05,385.09,385.01,-333.0,False,-1,385.01,385.01,385.05,385.05
102,2023-06-07T14:46:49Z,384.7575,384.89,384.8,115.0,True,1,-384.89,-384.89,384.75,-384.75
103,2023-06-07T14:47:18Z,384.4099,384.41,384.35,-240.0,False,-1,384.35,384.35,384.4,384.4
104,2023-06-07T14:49:18Z,384.83,384.9,384.82,10.0,True,1,-384.9,-384.9,384.83,-384.83
105,2023-06-07T14:49:28Z,384.7148,384.86,384.75,1209.0,True,0,,,384.71,
106,2023-06-07T14:49:38Z,384.985,385.03,384.96,-296.0,False,-1,384.96,384.96,384.98,384.98
107,2023-06-07T14:50:28Z,384.91,384.94,384.89,310.0,True,1,-384.94,-384.94,384.91,-384.91
108,2023-06-07T14:51:17Z,385.235,385.25,385.21,15.0,True,0,,,385.23,
109,2023-06-07T14:52:08Z,384.8458,384.85,384.78,-1000.0,False,-1,384.78,384.78,384.84,384.84
110,2023-06-07T14:53:18Z,383.82,383.85,383.76,-48.0,False,0,,,383.82,
111,2023-06-07T14:53:59Z,384.34,384.4,384.28,217.0,True,1,-384.4,-384.4,384.34,-384.34
112,2023-06-07T14:54:48Z,383.88,383.85,383.81,-300.0,False,-1,383.81,383.81,383.88,383.88
113,2023-06-07T14:55:09Z,383.7015,383.73,383.67,117.0,True,1,-383.73,-383.73,383.7,-383.7
114,2023-06-07T14:55:18Z,383.88,383.92,383.84,-225.0,False,-1,383.84,383.84,383.88,383.88
115,2023-06-07T14:55:59Z,384.685,384.72,384.65,-91.0,False,0,,,384.68,
116,2023-06-07T14:59:57Z,384.7513,384.72,384.69,-391.0,False,0,,,384.75,
117,2023-06-07T15:00:39Z,384.68,384.72,384.61,336.0,True,1,-384.72,-384.72,384.68,-384.68
118,2023-06-07T15:00:48Z,384.68,384.75,384.66,233.0,True,0,,,384.68,
119,2023-06-07T15:00:58Z,384.68,384.74,384.62,-135.0,False,-1,384.62,384.62,384.68,384.68
120,2023-06-07T15:05:29Z,385.95,386.04,385.95,40.0,True,1,-386.04,-386.04,385.95,-385.95
121,2023-06-07T15:05:59Z,386.36,386.4,386.32,-197.0,False,-1,386.32,386.32,386.36,386.36
122,2023-06-07T15:07:49Z,386.6003,386.65,386.58,-161.0,False,0,,,386.6,
123,2023-06-07T15:08:09Z,386.7662,386.83,386.76,361.0,True,1,-386.83,-386.83,386.76,-386.76
124,2023-06-07T15:16:29Z,385.44,385.41,385.32,-114.0,False,-1,385.32,385.32,385.44,385.44
125,2023-06-07T15:17:27Z,384.5173,384.59,384.51,932.0,True,1,-384.59,-384.59,384.51,-384.51
126,2023-06-07T15:17:38Z,384.7,384.76,384.7,38.0,True,0,,,384.7,
127,2023-06-07T15:17:58Z,384.5301,384.63,384.54,30.0,True,0,,,384.53,
128,2023-06-07T15:18:18Z,384.5367,384.54,384.42,-107.0,False,-1,384.42,384.42,384.53,384.53
129,2023-06-07T15:18:38Z,384.615,384.67,384.54,3832.0,True,1,-384.67,-384.67,384.61,-384.61
130,2023-06-07T15:18:48Z,384.74,384.81,384.7,6.0,True,0,,,384.74,
131,2023-06-07T15:19:38Z,385.0928,385.1,385.05,211.0,True,0,,,385.09,
132,2023-06-07T15:19:58Z,384.96,385.01,384.91,7.0,True,0,,,384.96,
133,2023-06-07T15:21:08Z,385.135,385.2,385.07,142.0,True,0,,,385.13,
134,2023-06-07T15:22:38Z,385.5901,385.76,385.61,332.0,True,0,,,385.59,
135,2023-06-07T15:24:08Z,385.5543,385.56,385.52,-607.0,False,-1,385.52,385.52,385.55,385.55
136,2023-06-07T15:24:36Z,385.39,385.55,385.38,345.0,True,1,-385.55,-385.55,385.39,-385.39
137,2023-06-07T15:26:27Z,385.325,385.4,385.25,-31.0,False,-1,385.25,385.25,385.32,385.32
138,2023-06-07T15:27:08Z,385.625,385.68,385.57,-394.0,False,0,,,385.62,
139,2023-06-07T15:28:09Z,385.9799,385.98,385.85,-5.0,False,0,,,385.97,
