,_id_x,CurTime,GetTime_x,Symbol,TradeTime,Last,Ask,AskSize,Bid,BidSize,Volume,VWAP,Open,High,Low,PreviousClose,PreviousVolume,NetChange,NetChangePct,_id_y,GetTime_y,EarliestTime,LatestTime,Side,Price,TotalSize,BiggestSize,SmallestSize,NumParticipants,TotalOrderCount,Dif
13,647f34e2a359804ef4bc5cb4,2023-06-06T13:30:10Z,2023-06-06T13:30:09Z,TSLA,2023-06-06T13:30:09Z,215.81,215.87,800.0,215.81,200.0,2453617.0,216.037018439231,216.14,216.25,215.78999,217.61,151143052.0,-1.8,-0.0083,647f34e2a359804ef4bc5cb3,2023-06-06T13:30:09Z,2023-06-06T13:30:01Z,2023-06-06T13:30:01Z,Bid,216.04,300.0,300.0,300.0,1.0,1.0,0.22999999999998977
43,647f34eca359804ef4bc5d91,2023-06-06T13:30:20Z,2023-06-06T13:30:19Z,TSLA,2023-06-06T13:30:19Z,216.4,216.46,100.0,216.36,100.0,2606727.0,216.107504041213,216.14,216.86,215.78999,217.61,151143052.0,-1.21,-0.0056,647f34eca359804ef4bc5deb,2023-06-06T13:30:20Z,2023-06-06T13:30:13Z,2023-06-06T13:30:13Z,Ask,216.3,-63.0,63.0,63.0,1.0,2.0,0.09999999999999432
171,647f3532a359804ef4bc630d,2023-06-06T13:31:30Z,2023-06-06T13:31:29Z,TSLA,2023-06-06T13:31:29Z,215.128,215.12,300.0,215.07,300.0,3684262.0,215.873134531972,216.14,216.86,215.00999,217.61,151143052.0,-2.482,-0.0114,647f3532a359804ef4bc6387,2023-06-06T13:31:29Z,2023-06-06T13:31:29Z,2023-06-06T13:31:29Z,Ask,215.12,-572.0,300.0,72.0,4.0,5.0,0.007999999999981355
197,647f3546a359804ef4bc649d,2023-06-06T13:31:50Z,2023-06-06T13:31:49Z,TSLA,2023-06-06T13:31:49Z,215.02,215.11,200.0,215.02,100.0,4140342.0,215.70974971967,216.14,216.86,214.78999,217.61,151143052.0,-2.59,-0.0119,647f3546a359804ef4bc649c,2023-06-06T13:31:49Z,2023-06-06T13:31:49Z,2023-06-06T13:31:49Z,Bid,215.04,200.0,100.0,100.0,2.0,2.0,0.01999999999998181
242,647f355aa359804ef4bc6633,2023-06-06T13:32:10Z,2023-06-06T13:32:09Z,TSLA,2023-06-06T13:32:09Z,215.12,215.15,300.0,215.09,200.0,4410943.0,215.648312419094,216.14,216.86,214.78999,217.61,151143052.0,-2.49,-0.0114,647f355aa359804ef4bc667d,2023-06-06T13:32:10Z,2023-06-06T13:32:10Z,2023-06-06T13:32:10Z,Ask,215.11,-590.0,300.0,90.0,3.0,4.0,0.009999999999990905
260,647f3564a359804ef4bc66fe,2023-06-06T13:32:20Z,2023-06-06T13:32:19Z,TSLA,2023-06-06T13:32:19Z,214.9914,215.0,200.0,214.94,100.0,4527716.0,215.623120361939,216.14,216.86,214.78999,217.61,151143052.0,-2.6186,-0.012,647f3564a359804ef4bc6764,2023-06-06T13:32:20Z,2023-06-06T13:32:20Z,2023-06-06T13:32:20Z,Ask,214.97,-161.0,100.0,61.0,2.0,3.0,0.021399999999999864
271,647f356ea359804ef4bc67c5,2023-06-06T13:32:30Z,2023-06-06T13:32:29Z,TSLA,2023-06-06T13:32:29Z,214.49,214.54,100.0,214.49,100.0,4730081.0,215.563951992097,216.14,216.86,214.49001,217.61,151143052.0,-3.12,-0.0143,647f356ea359804ef4bc67c4,2023-06-06T13:32:29Z,2023-06-06T13:32:29Z,2023-06-06T13:32:29Z,Bid,214.5,268.0,168.0,100.0,2.0,4.0,0.009999999999990905
366,647f35a0a359804ef4bc6bbe,2023-06-06T13:33:20Z,2023-06-06T13:33:19Z,TSLA,2023-06-06T13:33:19Z,213.8799,213.89,500.0,213.82,300.0,5539601.0,215.294795254104,216.14,216.86,213.82001,217.61,151143052.0,-3.7301,-0.0171,647f35a0a359804ef4bc6bbd,2023-06-06T13:33:19Z,2023-06-06T13:33:19Z,2023-06-06T13:33:19Z,Bid,213.91,66.0,66.0,66.0,1.0,2.0,0.030100000000004457
367,647f35a0a359804ef4bc6bbe,2023-06-06T13:33:20Z,2023-06-06T13:33:19Z,TSLA,2023-06-06T13:33:19Z,213.8799,213.89,500.0,213.82,300.0,5539601.0,215.294795254104,216.14,216.86,213.82001,217.61,151143052.0,-3.7301,-0.0171,647f35a0a359804ef4bc6bcd,2023-06-06T13:33:20Z,2023-06-06T13:33:19Z,2023-06-06T13:33:19Z,Bid,213.89,1000.0,300.0,200.0,4.0,4.0,0.010099999999994225
416,647f35b4a359804ef4bc6d56,2023-06-06T13:33:40Z,2023-06-06T13:33:39Z,TSLA,2023-06-06T13:33:39Z,214.05,214.07,200.0,214.01,100.0,5846291.0,215.193315067829,216.14,216.86,213.82001,217.61,151143052.0,-3.56,-0.0164,647f35b4a359804ef4bc6dab,2023-06-06T13:33:39Z,2023-06-06T13:33:39Z,2023-06-06T13:33:39Z,Ask,214.04,-50.0,50.0,50.0,1.0,2.0,0.010000000000019327
462,647f35d2a359804ef4bc6fa6,2023-06-06T13:34:10Z,2023-06-06T13:34:09Z,TSLA,2023-06-06T13:34:09Z,215.075,215.09,100.0,215.06,100.0,6356037.0,215.114254414169,216.14,216.86,213.82001,217.61,151143052.0,-2.535,-0.0116,647f35d2a359804ef4bc6fa5,2023-06-06T13:34:09Z,2023-06-06T13:34:09Z,2023-06-06T13:34:09Z,Bid,215.11,100.0,100.0,100.0,1.0,1.0,0.03500000000002501
463,647f35d2a359804ef4bc6fa6,2023-06-06T13:34:10Z,2023-06-06T13:34:09Z,TSLA,2023-06-06T13:34:09Z,215.075,215.09,100.0,215.06,100.0,6356037.0,215.114254414169,216.14,216.86,213.82001,217.61,151143052.0,-2.535,-0.0116,647f35d2a359804ef4bc6fb5,2023-06-06T13:34:09Z,2023-06-06T13:34:09Z,2023-06-06T13:34:09Z,Bid,215.1,82.0,82.0,82.0,1.0,3.0,0.025000000000005684
495,647f35dca359804ef4bc7074,2023-06-06T13:34:20Z,2023-06-06T13:34:19Z,TSLA,2023-06-06T13:34:19Z,215.395,215.43,200.0,215.36,100.0,6539757.0,215.117680433963,216.14,216.86,213.82001,217.61,151143052.0,-2.215,-0.0102,647f35dca359804ef4bc70e3,2023-06-06T13:34:20Z,2023-06-06T13:34:19Z,2023-06-06T13:34:20Z,Ask,215.33,-381.0,200.0,81.0,3.0,6.0,0.06499999999999773
496,647f35dca359804ef4bc7074,2023-06-06T13:34:20Z,2023-06-06T13:34:19Z,TSLA,2023-06-06T13:34:19Z,215.395,215.43,200.0,215.36,100.0,6539757.0,215.117680433963,216.14,216.86,213.82001,217.61,151143052.0,-2.215,-0.0102,647f35dca359804ef4bc70ed,2023-06-06T13:34:20Z,2023-06-06T13:34:19Z,2023-06-06T13:34:19Z,Ask,215.34,-100.0,100.0,100.0,1.0,1.0,0.05500000000000682
497,647f35dca359804ef4bc7074,2023-06-06T13:34:20Z,2023-06-06T13:34:19Z,TSLA,2023-06-06T13:34:19Z,215.395,215.43,200.0,215.36,100.0,6539757.0,215.117680433963,216.14,216.86,213.82001,217.61,151143052.0,-2.215,-0.0102,647f35dca359804ef4bc70f3,2023-06-06T13:34:20Z,2023-06-06T13:34:20Z,2023-06-06T13:34:20Z,Ask,215.38,-200.0,200.0,200.0,1.0,1.0,0.01500000000001478
515,647f35e6a359804ef4bc7138,2023-06-06T13:34:30Z,2023-06-06T13:34:29Z,TSLA,2023-06-06T13:34:29Z,214.9911,215.04,200.0,214.99,100.0,6698859.0,215.118458679205,216.14,216.86,213.82001,217.61,151143052.0,-2.6189,-0.012,647f35e6a359804ef4bc71a0,2023-06-06T13:34:30Z,2023-06-06T13:34:29Z,2023-06-06T13:34:30Z,Ask,214.95,-800.0,300.0,100.0,5.0,5.0,0.041100000000000136
516,647f35e6a359804ef4bc7138,2023-06-06T13:34:30Z,2023-06-06T13:34:29Z,TSLA,2023-06-06T13:34:29Z,214.9911,215.04,200.0,214.99,100.0,6698859.0,215.118458679205,216.14,216.86,213.82001,217.61,151143052.0,-2.6189,-0.012,647f35e6a359804ef4bc71a7,2023-06-06T13:34:30Z,2023-06-06T13:34:29Z,2023-06-06T13:34:29Z,Ask,214.97,-61.0,61.0,61.0,1.0,2.0,0.021099999999989905
521,647f35f0a359804ef4bc7202,2023-06-06T13:34:40Z,2023-06-06T13:34:39Z,TSLA,2023-06-06T13:34:39Z,214.7414,214.8,300.0,214.78,100.0,6795824.0,215.112780892106,216.14,216.86,213.82001,217.61,151143052.0,-2.8686,-0.0132,647f35f0a359804ef4bc7201,2023-06-06T13:34:39Z,2023-06-06T13:34:39Z,2023-06-06T13:34:39Z,Bid,214.78,379.0,279.0,100.0,2.0,4.0,0.03860000000000241
522,647f35f0a359804ef4bc7202,2023-06-06T13:34:40Z,2023-06-06T13:34:39Z,TSLA,2023-06-06T13:34:39Z,214.7414,214.8,300.0,214.78,100.0,6795824.0,215.112780892106,216.14,216.86,213.82001,217.61,151143052.0,-2.8686,-0.0132,647f35f0a359804ef4bc7212,2023-06-06T13:34:39Z,2023-06-06T13:34:39Z,2023-06-06T13:34:39Z,Bid,214.76,100.0,100.0,100.0,1.0,1.0,0.01859999999999218
553,647f35faa359804ef4bc72cf,2023-06-06T13:34:50Z,2023-06-06T13:34:49Z,TSLA,2023-06-06T13:34:49Z,214.7192,214.74,300.0,214.7,100.0,6895903.0,215.106926584492,216.14,216.86,213.82001,217.61,151143052.0,-2.8908,-0.0133,647f35faa359804ef4bc7338,2023-06-06T13:34:50Z,2023-06-06T13:34:50Z,2023-06-06T13:34:50Z,Ask,214.71,-239.0,200.0,39.0,2.0,3.0,0.00919999999999277
575,647f3604a359804ef4bc7396,2023-06-06T13:35:00Z,2023-06-06T13:34:59Z,TSLA,2023-06-06T13:34:59Z,214.5181,214.52,300.0,214.45,300.0,7017567.0,215.095633690469,216.14,216.86,213.82001,217.61,151143052.0,-3.0919,-0.0142,647f3604a359804ef4bc7401,2023-06-06T13:34:59Z,2023-06-06T13:34:59Z,2023-06-06T13:34:59Z,Ask,214.51,-526.0,300.0,26.0,3.0,3.0,0.008100000000013097
605,647f3618a359804ef4bc7548,2023-06-06T13:35:20Z,2023-06-06T13:35:19Z,TSLA,2023-06-06T13:35:19Z,214.3,214.35,100.0,214.3,500.0,7247962.0,215.069624759025,216.14,216.86,213.82001,217.61,151143052.0,-3.31,-0.0152,647f3618a359804ef4bc7547,2023-06-06T13:35:19Z,2023-06-06T13:35:19Z,2023-06-06T13:35:19Z,Bid,214.33,400.0,200.0,200.0,2.0,2.0,0.030000000000001137
606,647f3618a359804ef4bc7548,2023-06-06T13:35:20Z,2023-06-06T13:35:19Z,TSLA,2023-06-06T13:35:19Z,214.3,214.35,100.0,214.3,500.0,7247962.0,215.069624759025,216.14,216.86,213.82001,217.61,151143052.0,-3.31,-0.0152,647f3618a359804ef4bc755a,2023-06-06T13:35:20Z,2023-06-06T13:35:18Z,2023-06-06T13:35:18Z,Bid,214.31,48.0,48.0,48.0,1.0,3.0,0.009999999999990905
615,647f3618a359804ef4bc7548,2023-06-06T13:35:20Z,2023-06-06T13:35:19Z,TSLA,2023-06-06T13:35:19Z,214.3,214.35,100.0,214.3,500.0,7247962.0,215.069624759025,216.14,216.86,213.82001,217.61,151143052.0,-3.31,-0.0152,647f3618a359804ef4bc75b4,2023-06-06T13:35:20Z,2023-06-06T13:35:19Z,2023-06-06T13:35:19Z,Ask,214.27,-100.0,100.0,100.0,1.0,1.0,0.030000000000001137
616,647f3618a359804ef4bc7548,2023-06-06T13:35:20Z,2023-06-06T13:35:19Z,TSLA,2023-06-06T13:35:19Z,214.3,214.35,100.0,214.3,500.0,7247962.0,215.069624759025,216.14,216.86,213.82001,217.61,151143052.0,-3.31,-0.0152,647f3618a359804ef4bc75c3,2023-06-06T13:35:20Z,2023-06-06T13:35:19Z,2023-06-06T13:35:19Z,Ask,214.28,-111.0,111.0,111.0,1.0,2.0,0.020000000000010232
628,647f3622a359804ef4bc7628,2023-06-06T13:35:30Z,2023-06-06T13:35:29Z,TSLA,2023-06-06T13:35:29Z,214.225,214.25,100.0,214.2,200.0,7481201.0,215.031500567157,216.14,216.86,213.82001,217.61,151143052.0,-3.385,-0.0156,647f3622a359804ef4bc7627,2023-06-06T13:35:29Z,2023-06-06T13:35:29Z,2023-06-06T13:35:29Z,Bid,214.25,33.0,33.0,33.0,1.0,2.0,0.025000000000005684
699,647f3640a359804ef4bc788f,2023-06-06T13:36:00Z,2023-06-06T13:35:59Z,TSLA,2023-06-06T13:35:59Z,213.97,213.97,100.0,213.96,100.0,8039713.0,214.930219803194,216.14,216.86,213.52,217.61,151143052.0,-3.64,-0.0167,647f3640a359804ef4bc78f6,2023-06-06T13:35:59Z,2023-06-06T13:35:59Z,2023-06-06T13:35:59Z,Ask,213.92,-122.0,122.0,122.0,1.0,3.0,0.05000000000001137
700,647f3640a359804ef4bc788f,2023-06-06T13:36:00Z,2023-06-06T13:35:59Z,TSLA,2023-06-06T13:35:59Z,213.97,213.97,100.0,213.96,100.0,8039713.0,214.930219803194,216.14,216.86,213.52,217.61,151143052.0,-3.64,-0.0167,647f3640a359804ef4bc7901,2023-06-06T13:35:59Z,2023-06-06T13:35:59Z,2023-06-06T13:35:59Z,Ask,213.95,-100.0,100.0,100.0,1.0,1.0,0.020000000000010232
782,647f3668a359804ef4bc7bc9,2023-06-06T13:36:40Z,2023-06-06T13:36:39Z,TSLA,2023-06-06T13:36:39Z,214.0,214.0,100.0,213.97,100.0,8501470.0,214.857891499566,216.14,216.86,213.52,217.61,151143052.0,-3.61,-0.0166,647f3668a359804ef4bc7c44,2023-06-06T13:36:40Z,2023-06-06T13:36:40Z,2023-06-06T13:36:40Z,Ask,213.94,-132.0,100.0,32.0,2.0,3.0,0.060000000000002274
783,647f3668a359804ef4bc7bc9,2023-06-06T13:36:40Z,2023-06-06T13:36:39Z,TSLA,2023-06-06T13:36:39Z,214.0,214.0,100.0,213.97,100.0,8501470.0,214.857891499566,216.14,216.86,213.52,217.61,151143052.0,-3.61,-0.0166,647f3668a359804ef4bc7c4c,2023-06-06T13:36:40Z,2023-06-06T13:36:40Z,2023-06-06T13:36:40Z,Ask,213.97,-100.0,100.0,100.0,1.0,1.0,0.030000000000001137
784,647f3668a359804ef4bc7bc9,2023-06-06T13:36:40Z,2023-06-06T13:36:39Z,TSLA,2023-06-06T13:36:39Z,214.0,214.0,100.0,213.97,100.0,8501470.0,214.857891499566,216.14,216.86,213.52,217.61,151143052.0,-3.61,-0.0166,647f3668a359804ef4bc7c58,2023-06-06T13:36:40Z,2023-06-06T13:36:40Z,2023-06-06T13:36:40Z,Ask,213.98,-200.0,100.0,100.0,2.0,2.0,0.020000000000010232
785,647f3668a359804ef4bc7bc9,2023-06-06T13:36:40Z,2023-06-06T13:36:39Z,TSLA,2023-06-06T13:36:39Z,214.0,214.0,100.0,213.97,100.0,8501470.0,214.857891499566,216.14,216.86,213.52,217.61,151143052.0,-3.61,-0.0166,647f3668a359804ef4bc7c5c,2023-06-06T13:36:40Z,2023-06-06T13:36:40Z,2023-06-06T13:36:40Z,Ask,213.99,-100.0,100.0,100.0,1.0,1.0,0.009999999999990905
805,647f3672a359804ef4bc7c99,2023-06-06T13:36:50Z,2023-06-06T13:36:49Z,TSLA,2023-06-06T13:36:49Z,214.0121,214.03,200.0,214.01,100.0,8601322.0,214.84495305195,216.14,216.86,213.52,217.61,151143052.0,-3.5979,-0.0165,647f3672a359804ef4bc7d12,2023-06-06T13:36:50Z,2023-06-06T13:36:50Z,2023-06-06T13:36:50Z,Ask,214.0,-40.0,40.0,40.0,1.0,2.0,0.012100000000003774
875,647f3690a359804ef4bc7f08,2023-06-06T13:37:20Z,2023-06-06T13:37:19Z,TSLA,2023-06-06T13:37:19Z,214.09,214.1,1400.0,214.06,100.0,8981947.0,214.798112896572,216.14,216.86,213.52,217.61,151143052.0,-3.52,-0.0162,647f3690a359804ef4bc7f7a,2023-06-06T13:37:20Z,2023-06-06T13:37:20Z,2023-06-06T13:37:20Z,Ask,214.07,-12.0,12.0,12.0,1.0,1.0,0.020000000000010232
948,647f36aea359804ef4bc818d,2023-06-06T13:37:50Z,2023-06-06T13:37:48Z,TSLA,2023-06-06T13:37:48Z,214.0825,214.09,100.0,214.05,100.0,9293117.0,214.768662447887,216.14,216.86,213.52,217.61,151143052.0,-3.5275,-0.0162,647f36aea359804ef4bc8213,2023-06-06T13:37:50Z,2023-06-06T13:37:50Z,2023-06-06T13:37:50Z,Ask,213.94,-11.0,11.0,11.0,1.0,1.0,0.1425000000000125
949,647f36aea359804ef4bc818d,2023-06-06T13:37:50Z,2023-06-06T13:37:48Z,TSLA,2023-06-06T13:37:48Z,214.0825,214.09,100.0,214.05,100.0,9293117.0,214.768662447887,216.14,216.86,213.52,217.61,151143052.0,-3.5275,-0.0162,647f36aea359804ef4bc821a,2023-06-06T13:37:50Z,2023-06-06T13:37:50Z,2023-06-06T13:37:50Z,Ask,213.95,-100.0,100.0,100.0,1.0,1.0,0.1325000000000216
