,TradeTime,Last,Ask,Bid,VolumeSum,Sign,Sign Change,Balance Change,Short Balance Change,Rounded Last,Last Balance Change
0,2023-06-07T13:30:19Z,271.445,271.53,271.44,-1000.0,False,,,,271.44,
1,2023-06-07T13:34:49Z,272.86,272.98,272.94,1090.0,True,1,-272.98,-272.98,272.86,-272.86
2,2023-06-07T13:38:48Z,273.12,273.15,273.09,1094.0,True,0,,,273.12,
3,2023-06-07T13:40:38Z,272.43,272.52,272.45,450.0,True,0,,,272.43,
4,2023-06-07T13:42:18Z,273.19,273.16,273.06,-401.0,False,-1,273.06,273.06,273.19,273.19
5,2023-06-07T13:42:58Z,273.2,273.32,273.26,631.0,True,1,-273.32,-273.32,273.2,-273.2
6,2023-06-07T13:45:48Z,273.4986,273.49,273.43,-150.0,False,-1,273.43,273.43,273.49,273.49
7,2023-06-07T13:47:39Z,274.01,274.04,274.0,-1352.0,False,0,,,274.01,
8,2023-06-07T13:48:08Z,273.785,273.8,273.77,-659.0,False,0,,,273.78,
9,2023-06-07T13:49:38Z,272.74,272.79,272.73,850.0,True,1,-272.79,-272.79,272.74,-272.74
10,2023-06-07T13:51:18Z,273.1795,273.19,273.12,-26.0,False,-1,273.12,273.12,273.17,273.17
11,2023-06-07T13:51:36Z,273.06,273.08,273.03,650.0,True,1,-273.08,-273.08,273.06,-273.06
12,2023-06-07T13:53:18Z,273.608,273.66,273.61,312.0,True,0,,,273.6,
13,2023-06-07T13:53:48Z,273.295,273.32,273.27,574.0,True,0,,,273.29,
14,2023-06-07T13:53:58Z,273.45,273.51,273.44,100.0,True,0,,,273.45,
15,2023-06-07T13:54:48Z,273.175,273.2,273.15,300.0,True,0,,,273.17,
16,2023-06-07T13:56:06Z,273.15,273.17,273.14,150.0,True,0,,,273.14,
17,2023-06-07T13:56:28Z,272.712,272.72,272.68,-800.0,False,-1,272.68,272.68,272.71,272.71
18,2023-06-07T13:56:48Z,272.37,272.36,272.33,-226.0,False,0,,,272.37,
19,2023-06-07T14:03:58Z,271.56,271.58,271.54,-319.0,False,0,,,271.56,
20,2023-06-07T14:04:37Z,271.765,271.78,271.72,691.0,True,1,-271.78,-271.78,271.76,-271.76
21,2023-06-07T14:04:49Z,271.79,271.86,271.78,441.0,True,0,,,271.79,
22,2023-06-07T14:08:54Z,272.685,272.7,272.66,-544.0,False,-1,272.66,272.66,272.68,272.68
23,2023-06-07T14:10:17Z,272.32,272.46,272.38,1063.0,True,1,-272.46,-272.46,272.32,-272.32
24,2023-06-07T14:14:39Z,272.535,272.57,272.52,-102.0,False,-1,272.52,272.52,272.53,272.53
25,2023-06-07T14:15:09Z,272.45,272.46,272.43,-100.0,False,0,,,272.45,
26,2023-06-07T14:16:27Z,272.27,272.38,272.31,500.0,True,1,-272.38,-272.38,272.27,-272.27
27,2023-06-07T14:16:48Z,272.1643,272.2,272.14,-979.0,False,-1,272.14,272.14,272.16,272.16
28,2023-06-07T14:16:58Z,272.18,272.13,272.06,-1.0,False,0,,,272.18,
29,2023-06-07T14:17:27Z,272.23,272.33,272.27,150.0,True,1,-272.33,-272.33,272.23,-272.23
30,2023-06-07T14:26:48Z,270.66,270.65,270.58,-8.0,False,-1,270.58,270.58,270.66,270.66
31,2023-06-07T14:27:07Z,270.55,270.57,270.51,300.0,True,1,-270.57,-270.57,270.55,-270.55
32,2023-06-07T14:27:18Z,270.8,270.8,270.72,376.0,True,0,,,270.8,
33,2023-06-07T14:27:28Z,270.87,270.93,270.88,200.0,True,0,,,270.87,
34,2023-06-07T14:28:28Z,270.925,270.93,270.9,250.0,True,0,,,270.92,
35,2023-06-07T14:28:38Z,270.88,270.91,270.85,379.0,True,0,,,270.88,
36,2023-06-07T14:29:27Z,271.22,271.25,271.19,-344.0,False,-1,271.19,271.19,271.22,271.22
37,2023-06-07T14:29:36Z,271.19,271.2,271.15,-300.0,False,0,,,271.19,
38,2023-06-07T14:29:47Z,271.2,271.22,271.15,-144.0,False,0,,,271.2,
39,2023-06-07T14:30:57Z,271.56,271.56,271.51,414.0,True,1,-271.56,-271.56,271.56,-271.56
40,2023-06-07T14:31:48Z,271.3604,271.42,271.36,891.0,True,0,,,271.36,
