date,_id,curtime,gettime,symbol,tradetime,last,ask,asksize,bid,bidsize,volume,vwap,open,high,low,previousclose,previousvolume,netchange,netchangepct,lvl2,close,macd,macds,macdh,macd_cross,macd_sign,start,end,max,min,r,len,accum,peak,h_s
2023-06-05T13:30:00Z,647de3585869ec113f5e66dd,2023-06-05T13:30:00Z,2023-06-05T13:29:59Z,TSLA,2023-06-05T13:29:57Z,217.789,217.79,700.0,217.75,400.0,2994330.0,0.0,0.0,0.0,0.0,213.97,164398372.0,3.819,0.0178,1625.9341721199698,217.789,0.0,0.0,0.0,0,0,2023-06-05T13:30:00Z,2023-06-05T13:30:00Z,0.0,0.0,0.0,0,0.0,2023-06-05T13:30:00Z,0.0
2023-06-05T13:30:10Z,647de3625869ec113f5e6790,2023-06-05T13:30:10Z,2023-06-05T13:30:09Z,TSLA,2023-06-05T13:30:08Z,217.475,217.55,300.0,217.45,1400.0,3911438.0,217.696804050032,217.8,218.0,217.45,213.97,164398372.0,3.505,0.0164,3024.2256994819772,217.475,-0.014089743589721593,-0.007827635327623107,-0.006262108262098486,-1,-1,2023-06-05T13:30:10Z,2023-06-05T13:30:10Z,-0.006262108262098486,-0.006262108262098486,1.0,1,-0.006262108262098486,2023-06-05T13:30:10Z,-0.006262108262098486
2023-06-05T13:30:20Z,647de36c5869ec113f5e685c,2023-06-05T13:30:20Z,2023-06-05T13:30:19Z,TSLA,2023-06-05T13:30:18Z,218.48,218.48,1800.0,218.42,100.0,4376822.0,217.80173288528,217.8,218.48,217.45,213.97,164398372.0,4.51,0.0211,-3253.771781199925,218.48,0.04704355992200249,0.014660559446813609,0.032383000475188876,1,1,2023-06-05T13:30:20Z,2023-06-05T13:30:20Z,0.032383000475188876,0.032383000475188876,1.0,1,0.032383000475188876,2023-06-05T13:30:20Z,0.032383000475188876
2023-06-05T13:30:30Z,647de3765869ec113f5e692e,2023-06-05T13:30:30Z,2023-06-05T13:30:29Z,TSLA,2023-06-05T13:30:29Z,218.46,218.5,200.0,218.43,100.0,4699948.0,217.911009648926,217.8,218.6299,217.45,213.97,164398372.0,4.49,0.021,1531.173128178498,218.46,0.0674242162977805,0.032534426943753615,0.03488978935402689,0,1,2023-06-05T13:30:20Z,2023-06-05T13:30:30Z,0.03488978935402689,0.032383000475188876,1.0,2,0.06727278982921577,2023-06-05T13:30:30Z,0.03488978935402689
2023-06-05T13:30:40Z,647de3805869ec113f5e69f9,2023-06-05T13:30:40Z,2023-06-05T13:30:39Z,TSLA,2023-06-05T13:30:38Z,218.34,218.37,300.0,218.3,300.0,4947063.0,217.991002175381,217.8,218.67999,217.45,213.97,164398372.0,4.37,0.0204,-906.6947359388936,218.34,0.06337602412236265,0.04170910482887053,0.02166691929349212,0,1,2023-06-05T13:30:20Z,2023-06-05T13:30:40Z,0.03488978935402689,0.02166691929349212,0.6210103212042287,3,0.08893970912270788,2023-06-05T13:30:30Z,0.02166691929349212
2023-06-05T13:30:50Z,647de38a5869ec113f5e6acc,2023-06-05T13:30:50Z,2023-06-05T13:30:49Z,TSLA,2023-06-05T13:30:48Z,219.19,219.19,200.0,219.1,100.0,5377336.0,218.147422966456,217.8,219.28,217.45,213.97,164398372.0,5.22,0.0244,1500.8617463737723,219.19,0.13700580084761782,0.06753980784375345,0.06946599300386437,0,1,2023-06-05T13:30:20Z,2023-06-05T13:30:50Z,0.06946599300386437,0.02166691929349212,1.0,4,0.15840570212657223,2023-06-05T13:30:50Z,0.06946599300386437
2023-06-05T13:31:00Z,647de3945869ec113f5e6b9b,2023-06-05T13:31:00Z,2023-06-05T13:30:59Z,TSLA,2023-06-05T13:30:58Z,218.995,219.04,100.0,218.98,100.0,5664148.0,218.238172765133,217.8,219.28,217.45,213.97,164398372.0,5.025,0.0235,-5346.525959541305,218.995,0.15160484432746557,0.08881442592668055,0.06279041840078502,0,1,2023-06-05T13:30:20Z,2023-06-05T13:31:00Z,0.06946599300386437,0.02166691929349212,0.9039015449947143,5,0.22119612052735727,2023-06-05T13:30:50Z,0.06279041840078502
2023-06-05T13:31:10Z,647de39e5869ec113f5e6c6e,2023-06-05T13:31:10Z,2023-06-05T13:31:09Z,TSLA,2023-06-05T13:31:08Z,218.5612,218.56,100.0,218.49,100.0,5925562.0,218.279017452695,217.8,219.28,217.45,213.97,164398372.0,4.5912,0.0215,970.4167162853593,218.5612,0.1075487847787997,0.09331664465854109,0.014232140120258613,0,1,2023-06-05T13:30:20Z,2023-06-05T13:31:10Z,0.06946599300386437,0.014232140120258613,0.20487924385485837,6,0.23542826064761588,2023-06-05T13:30:50Z,0.014232140120258613
2023-06-05T13:31:20Z,647de3a85869ec113f5e6d3f,2023-06-05T13:31:20Z,2023-06-05T13:31:19Z,TSLA,2023-06-05T13:31:19Z,218.315,218.35,100.0,218.28,100.0,6099801.0,218.284405569592,217.8,219.28,217.45,213.97,164398372.0,4.345,0.0203,835.8212932769743,218.315,0.05022897862181708,0.08336318004504435,-0.033134201423227275,-1,-1,2023-06-05T13:31:20Z,2023-06-05T13:31:20Z,-0.033134201423227275,-0.033134201423227275,1.0,1,-0.033134201423227275,2023-06-05T13:31:20Z,-0.033134201423227275
2023-06-05T13:31:30Z,647de3b25869ec113f5e6e10,2023-06-05T13:31:30Z,2023-06-05T13:31:29Z,TSLA,2023-06-05T13:31:28Z,219.435,219.46,100.0,219.38,100.0,6411977.0,218.355159829133,217.8,219.49001,217.45,213.97,164398372.0,5.465,0.0255,1068.9934801426004,219.435,0.14218143574331066,0.0965418837165135,0.04563955202679716,1,1,2023-06-05T13:31:30Z,2023-06-05T13:31:30Z,0.04563955202679716,0.04563955202679716,1.0,1,0.04563955202679716,2023-06-05T13:31:30Z,0.04563955202679716
2023-06-05T13:31:40Z,647de3bc5869ec113f5e6ee0,2023-06-05T13:31:40Z,2023-06-05T13:31:39Z,TSLA,2023-06-05T13:31:38Z,219.39,219.47,4000.0,219.39,200.0,6759959.0,218.462402901731,217.8,219.69,217.45,213.97,164398372.0,5.42,0.0253,173.57330806051925,219.39,0.1855383517360849,0.11601380239906652,0.06952454933701839,0,1,2023-06-05T13:31:30Z,2023-06-05T13:31:40Z,0.06952454933701839,0.04563955202679716,1.0,2,0.11516410136381555,2023-06-05T13:31:40Z,0.06952454933701839
2023-06-05T13:31:50Z,647de3c65869ec113f5e6fa2,2023-06-05T13:31:50Z,2023-06-05T13:31:49Z,TSLA,2023-06-05T13:31:48Z,219.686,219.73,100.0,219.68,100.0,6946205.0,218.513726098098,217.8,219.75,217.45,213.97,164398372.0,5.716,0.0267,-173.8067182481844,219.686,0.23960833816190075,0.14255672532623215,0.0970516128356686,0,1,2023-06-05T13:31:30Z,2023-06-05T13:31:50Z,0.0970516128356686,0.04563955202679716,1.0,3,0.21221571419948415,2023-06-05T13:31:50Z,0.0970516128356686
2023-06-05T13:32:00Z,647de3d05869ec113f5e705f,2023-06-05T13:32:00Z,2023-06-05T13:31:59Z,TSLA,2023-06-05T13:31:58Z,219.78,219.82,100.0,219.75,500.0,7177446.0,218.583035213823,217.8,219.94,217.45,213.97,164398372.0,5.81,0.0272,-3359.4790439002936,219.78,0.27383113918278923,0.1703389521705875,0.10349218701220173,0,1,2023-06-05T13:31:30Z,2023-06-05T13:32:00Z,0.10349218701220173,0.04563955202679716,1.0,4,0.3157079012116859,2023-06-05T13:32:00Z,0.10349218701220173
2023-06-05T13:32:10Z,647de3da5869ec113f5e712c,2023-06-05T13:32:10Z,2023-06-05T13:32:09Z,TSLA,2023-06-05T13:32:08Z,220.3193,220.32,100.0,220.26,300.0,7924093.0,218.783488545193,217.8,220.39999,217.45,213.97,164398372.0,6.3493,0.0297,1785.3783690106711,220.3193,0.35148810711118017,0.20823549054239657,0.1432526165687836,0,1,2023-06-05T13:31:30Z,2023-06-05T13:32:10Z,0.1432526165687836,0.04563955202679716,1.0,5,0.45896051778046953,2023-06-05T13:32:10Z,0.1432526165687836
2023-06-05T13:32:20Z,647de3e45869ec113f5e71ea,2023-06-05T13:32:20Z,2023-06-05T13:32:19Z,TSLA,2023-06-05T13:32:18Z,220.521,220.54,100.0,220.5,100.0,8234402.0,218.878369195474,217.8,220.73,217.45,213.97,164398372.0,6.551,0.0306,1645.0339759081442,220.521,0.4100350543023694,0.25006722666318687,0.15996782763918255,0,1,2023-06-05T13:31:30Z,2023-06-05T13:32:20Z,0.15996782763918255,0.04563955202679716,1.0,6,0.6189283454196521,2023-06-05T13:32:20Z,0.15996782763918255
2023-06-05T13:32:30Z,647de3ee5869ec113f5e72bf,2023-06-05T13:32:30Z,2023-06-05T13:32:29Z,TSLA,2023-06-05T13:32:28Z,220.835,220.87,100.0,220.8,200.0,8489689.0,218.962222987111,217.8,220.87849,217.45,213.97,164398372.0,6.865,0.0321,1925.1775128887812,220.835,0.46976369938860785,0.29527912295381603,0.17448457643479182,0,1,2023-06-05T13:31:30Z,2023-06-05T13:32:30Z,0.17448457643479182,0.04563955202679716,1.0,7,0.7934129218544439,2023-06-05T13:32:30Z,0.17448457643479182
2023-06-05T13:32:40Z,647de3f85869ec113f5e738e,2023-06-05T13:32:40Z,2023-06-05T13:32:39Z,TSLA,2023-06-05T13:32:38Z,220.7806,220.82,100.0,220.78,100.0,8740817.0,219.043608414199,217.8,220.98,217.45,213.97,164398372.0,6.8106,0.0318,1152.0350598172695,220.7806,0.47951872681426266,0.3329758996738525,0.14654282714041017,0,1,2023-06-05T13:31:30Z,2023-06-05T13:32:40Z,0.17448457643479182,0.04563955202679716,0.839861207991504,8,0.939955748994854,2023-06-05T13:32:30Z,0.14654282714041017
