Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-03,2023-07-05,Sum
0.25,0.0,0.77,0.24,0.32,-2.3,-1.97,0.94,-1.47,-4.85,3.4,1.89,-2.14,3.48,-1.07,2.4,2.4,0.0,0.0,0.0,2.04
0.25,-0.005,0.77,0.24,0.42,-2.3,-1.97,0.81,-1.47,-4.85,3.4,1.89,-2.14,3.48,-1.07,2.4,2.4,0.0,0.0,0.0,2.01
0.25,-0.01,0.77,0.24,0.5,-2.3,-1.97,0.81,-1.32,-4.87,3.63,1.89,-2.14,3.48,-1.07,2.4,2.69,0.0,0.0,0.0,2.74
0.25,-0.015,0.91,0.24,0.5,-1.93,-1.97,0.81,-1.32,-4.87,3.63,1.89,-1.24,3.48,-1.07,2.4,2.69,0.0,0.0,0.0,4.15
0.25,-0.02,0.91,0.24,-0.73,-1.93,-1.97,0.81,-1.32,-5.01,3.63,1.89,-1.24,2.92,-1.08,2.4,2.56,0.0,0.0,0.0,2.08
0.25,-0.025,0.91,-0.13,-0.73,-1.93,-1.97,0.81,-1.14,-5.01,4.16,1.89,-1.24,2.92,-1.08,2.4,2.56,0.0,0.0,0.0,2.42
0.25,-0.03,0.91,-0.13,-0.73,-1.93,-1.97,0.18,-1.14,-5.01,4.16,1.85,-1.59,2.68,-1.08,2.4,2.32,0.0,0.0,0.0,0.92
0.25,-0.035,0.7,-0.13,-0.73,-1.93,-1.97,0.18,-1.14,-4.02,4.16,1.24,-1.59,2.68,-1.18,2.44,2.32,0.0,0.0,0.0,1.03
0.25,-0.04,0.7,0.93,-0.73,-1.93,-2.11,0.18,0.52,-4.02,4.16,1.24,-0.86,2.68,-1.26,3.09,2.32,0.0,0.0,0.0,4.91
0.25,-0.045,0.83,0.93,-0.73,-1.93,-2.11,0.18,-0.37,-3.13,4.16,1.24,-0.86,2.68,-1.79,2.88,2.32,0.0,0.0,0.0,4.3
0.25,-0.05,0.83,0.93,0.0,-2.0,-2.11,0.18,0.0,-3.13,4.16,1.24,-0.86,1.52,-1.79,1.17,2.32,0.0,0.0,0.0,2.46
0.25,-0.055,0.83,0.93,0.0,-2.0,-1.27,0.18,0.0,-3.13,4.16,1.24,-0.86,1.52,-1.86,1.17,2.32,0.0,0.0,0.0,3.23
0.25,-0.06,0.0,0.93,0.0,-2.0,-1.27,-0.61,0.0,-3.13,4.16,1.24,-0.86,1.52,-1.86,1.17,2.32,0.0,0.0,0.0,1.61
0.25,-0.065,0.0,0.93,0.0,-2.0,-1.27,-0.61,0.0,0.0,4.16,1.24,0.15,1.52,-2.4,1.17,0.0,0.0,0.0,0.0,2.89
0.25,-0.07,0.0,0.49,0.0,-2.0,0.0,-0.61,0.0,0.0,4.16,1.24,0.0,1.52,-2.4,0.86,0.0,0.0,0.0,0.0,3.26
0.25,-0.075,0.0,0.49,0.0,-2.0,0.0,-0.61,0.0,0.0,4.16,1.24,0.0,1.52,-2.4,0.86,0.0,0.0,0.0,0.0,3.26
0.25,-0.08,0.0,0.49,0.0,0.0,0.0,-1.1,0.0,0.0,4.16,1.24,0.0,1.52,-2.4,0.86,0.0,0.0,0.0,0.0,4.77
0.25,-0.085,0.0,0.49,0.0,0.0,0.0,-0.52,0.0,0.0,0.0,1.24,0.0,1.52,-2.4,0.86,0.0,0.0,0.0,0.0,1.19
0.25,-0.09,0.0,0.49,0.0,0.0,0.0,-0.37,0.0,0.0,0.0,1.24,0.0,1.52,0.0,0.86,0.0,0.0,0.0,0.0,3.74
0.25,-0.095,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.57,0.0,1.52,0.0,0.86,0.0,0.0,0.0,0.0,2.3
0.25,-0.1,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.01
0.25,-0.105,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.01
0.25,-0.11,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.01
0.25,-0.115,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.01
0.25,-0.12,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.01
0.25,-0.125,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.01
0.25,-0.13,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,2.01
