Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,2023-06-26,2023-06-27,2023-06-28,2023-06-29,2023-06-30,2023-07-03,2023-07-05,2023-07-06,2023-07-07,2023-07-10,2023-07-11,2023-07-12,2023-07-13,2023-07-14,2023-07-17,2023-07-18,2023-07-19,Sum
0.25,0.0,-0.17,0.74,2.02,-0.55,-1.9,-1.61,2.78,1.63,1.99,-2.0,-1.81,2.81,3.08,-3.16,0.19,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
0.25,-0.005,-0.17,0.74,2.02,-0.55,-1.9,-1.61,2.78,1.63,1.99,-2.0,-1.81,2.81,3.08,-3.16,0.69,0.0,0.0,-0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3
0.25,-0.01,-0.17,0.74,2.02,-0.55,-1.9,-1.61,2.78,1.63,1.99,-1.34,-1.72,2.81,3.08,-3.16,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.15
0.25,-0.015,-0.17,0.74,2.02,-0.26,-1.92,-1.61,2.78,1.63,1.99,-1.34,-1.72,2.81,3.08,-3.16,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42
0.25,-0.02,-0.17,0.74,2.02,-0.26,-1.92,-1.61,2.56,1.63,1.99,-1.34,-1.72,2.81,3.08,-3.16,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2
0.25,-0.025,-0.17,0.74,2.02,-0.26,-1.92,-1.61,2.44,1.63,1.99,-1.34,-2.2,2.81,3.0,-3.16,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52
0.25,-0.03,-0.17,0.74,2.02,-0.26,-1.92,-0.83,2.44,1.63,1.99,-1.75,-2.2,2.81,3.0,-3.16,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89
0.25,-0.035,-0.17,0.74,2.02,-0.26,-1.92,-0.83,1.78,1.63,1.99,-1.75,-2.2,3.94,3.0,-3.16,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36
0.25,-0.04,0.0,0.74,2.13,1.24,-1.92,-0.83,1.78,1.63,1.99,-1.28,-2.2,3.94,3.0,-3.16,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61
0.25,-0.045,0.0,0.74,2.13,1.24,-1.92,-0.83,1.78,1.63,1.37,-1.28,-2.2,3.15,3.0,-3.16,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2
0.25,-0.05,0.0,0.74,2.13,0.7,-1.92,-0.83,1.51,1.63,1.37,-1.28,-2.2,3.15,3.0,-3.16,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.39
0.25,-0.055,0.0,0.74,2.13,0.7,-1.92,-0.83,1.51,1.63,1.37,-1.28,-2.2,3.15,3.0,-2.99,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56
0.25,-0.06,0.0,0.74,2.13,0.7,-2.71,-0.83,1.51,1.63,1.37,-1.28,-2.2,3.15,3.0,-2.99,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77
0.25,-0.065,0.0,0.74,2.13,0.7,-2.71,-0.83,2.7,1.63,1.37,-1.28,-2.2,1.58,2.79,-3.4,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77
0.25,-0.07,0.0,0.6,2.13,0.7,-2.71,-0.83,2.7,1.63,1.29,-1.28,-2.2,1.58,2.79,-3.4,0.69,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55
0.25,-0.075,0.0,0.6,2.13,0.7,-2.71,-0.83,2.7,1.63,1.17,-1.28,-2.01,1.58,2.79,-3.4,0.69,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05
0.25,-0.08,0.0,0.6,2.13,0.7,-2.71,-0.83,2.7,1.63,1.17,-1.28,-2.01,1.58,2.79,-2.35,0.69,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1
0.25,-0.085,0.0,0.6,2.13,0.7,-2.71,-0.83,2.7,1.51,1.17,-1.49,-2.01,1.58,2.79,-0.95,0.69,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17
0.25,-0.09,0.0,0.6,2.13,0.7,0.0,-0.83,2.7,-1.22,1.17,-1.49,-2.01,1.58,2.79,-0.95,0.69,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15
0.25,-0.095,0.0,0.6,2.3,0.7,0.0,-0.83,2.7,-1.22,1.17,-1.49,-2.01,1.58,2.79,-0.95,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.63
0.25,-0.1,0.0,0.6,2.3,0.7,0.0,0.8,2.7,-1.22,1.17,-1.49,-2.01,1.58,2.79,-0.95,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.26
0.25,-0.105,0.0,0.0,2.3,0.7,0.0,0.8,2.7,0.0,1.17,1.76,-3.9,0.0,2.79,-0.95,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66
0.25,-0.11,0.0,0.0,2.3,0.7,0.0,0.8,2.7,0.0,1.17,1.76,-3.9,0.0,2.79,-0.95,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66
0.25,-0.115,0.0,0.0,2.3,0.7,0.0,0.8,2.7,0.0,1.17,1.76,-3.9,0.0,2.79,-0.95,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66
0.25,-0.12,0.0,0.0,2.3,0.7,0.0,0.8,2.7,0.0,1.17,2.68,0.0,0.0,2.79,-0.95,0.0,0.0,0.0,-0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.48
0.25,-0.125,0.0,0.0,2.3,0.7,0.0,0.8,2.7,0.0,1.17,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.46
0.25,-0.13,0.0,0.0,2.3,0.7,0.0,0.8,2.7,0.0,3.38,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67
0.25,-0.135,0.0,0.0,2.3,0.7,0.0,0.8,0.0,0.0,3.38,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.97
0.25,-0.14,0.0,0.0,2.3,0.7,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.17
0.25,-0.145,0.0,0.0,2.3,0.7,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05
0.25,-0.15,0.0,0.0,2.3,0.7,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05
