,TradeTime,Last,Ask,Bid,VolumeSum,Sign,Sign Change,Balance Change,Short Balance Change,Rounded Last,Last Balance Change
0,2023-06-06T13:30:08Z,4.58,4.59,4.58,917.0,True,1,-4.59,-4.59,4.58,-4.58
1,2023-06-06T13:38:18Z,4.59,4.6,4.59,99.0,True,0,,,4.59,
2,2023-06-06T14:35:47Z,4.62,4.63,4.62,34689.0,True,0,,,4.62,
3,2023-06-06T16:28:21Z,4.68,4.68,4.67,-34700.0,False,-1,4.67,4.67,4.68,4.68
