,TradeTime,Last,Ask,Bid,VolumeSum,Sign,Sign Change,Balance Change,Short Balance Change,Rounded Last,Last Balance Change
0,2023-06-05T13:30:09Z,4.63,4.66,4.64,4701.0,True,1,-4.66,-4.66,4.63,-4.63
1,2023-06-05T13:30:29Z,4.63,4.62,4.61,-200.0,False,-1,4.61,4.61,4.63,4.63
2,2023-06-05T17:24:13Z,4.605,4.61,4.6,13480.0,True,1,-4.61,-4.61,4.6,-4.6
3,2023-06-05T18:06:45Z,4.5975,4.6,4.59,-98.0,False,-1,4.59,4.59,4.59,4.59
4,2023-06-05T19:20:28Z,4.59,4.59,4.58,-200.0,False,0,,,4.59,
5,2023-06-05T19:45:15Z,4.6,4.61,4.6,100.0,True,0,,,4.59,
