"_id",buy_and_hold_gain,buy_and_hold_perf,duration,end_date,long,macd_min_len,macd_threshold,model_gain,model_perf,model_run_date,model_score,predict_action,predict_date,predict_macd_accum,predict_macd_len,predict_vol,run_id,short,signal,start_date,symbol
6393da11be0915624e51c0a0,1915.1680413489098,1.198463365129311,41.74520547945205,2022-11-30,7,0,0,9936.007755114008,1.2466731298887153,2022-12-09-19-56-09,1.0402263149313726,1.5363237857818604,2022-12-02,0.19172631677970006,2,0.0,11100,3,19,1981-03-13,AAPL
6393db59be0915624e51c146,1915.167487520433,1.1984633568272367,41.74520547945205,2022-11-30,7,0,0,21289.737860224723,1.2696401759714915,2022-12-09-20-00-48,1.0593900670711247,0.24732686579227448,2022-12-02,0.1917263168969962,2,0.0,11101,3,19,1981-03-13,AAPL
6393dc77be0915624e51c1d6,1915.1673029110118,1.198463354059879,41.74520547945205,2022-11-30,7,0,0,13188.309622916984,1.2551582913941377,2022-12-09-20-06-16,1.047306358715267,0.0,2022-12-02,0.19172631689749028,2,0.0,11102,3,19,1981-03-13,AAPL
6393dd94be0915624e51c268,1915.167856739382,1.1984633623619527,41.74520547945205,2022-11-30,7,0,0,128391.28882719645,1.3254830744329824,2022-12-09-20-10-59,1.1059854777877374,0.2429160326719284,2022-12-02,0.19172631677970006,2,0.6405869722366333,11103,3,19,1981-03-13,AAPL
6393de84be0915624e51c2e2,1915.167487520433,1.1984633568272367,41.74520547945205,2022-11-30,7,0,0,19483.880117247838,1.2669472057028093,2022-12-09-20-15-39,1.057143047791527,1.4683443307876587,2022-12-02,0.19172631689711506,2,0.0,11104,3,19,1981-03-13,AAPL
6393df74be0915624e51c35c,1915.167487520433,1.1984633568272367,41.74520547945205,2022-11-30,7,0,0,38387.46347130433,1.287696617679223,2022-12-09-20-19-24,1.0744563948022732,0.0,2022-12-02,0.1917263168974899,2,0.0,11105,3,19,1981-03-13,AAPL
6393e056be0915624e51c3cf,1915.1673029110118,1.198463354059879,41.74520547945205,2022-11-30,7,0,0,37566.10815144109,1.2870296201130365,2022-12-09-20-23-19,1.0738998533022581,0.0,2022-12-02,0.19172631677970126,2,0.772411048412323,11106,3,19,1981-03-13,AAPL
6393e124be0915624e51c439,1915.1676721298898,1.1984633595945946,41.74520547945205,2022-11-30,7,0,0,28587.792414547323,1.2786365771392618,2022-12-09-20-26-47,1.0668966780693132,0.32302507758140564,2022-12-02,0.19172631677973484,2,0.0,11107,3,19,1981-03-13,AAPL
6393e1edbe0915624e51c4a1,1915.1680413489098,1.198463365129311,41.74520547945205,2022-11-30,7,0,0,20490.574827526158,1.2684770634815665,2022-12-09-20-30-22,1.0584195565666716,0.07352012395858765,2022-12-02,0.1917263168969962,2,0.5473672151565552,11108,3,19,1981-03-13,AAPL
6393e2c1be0915624e51c50e,1915.1673029110118,1.198463354059879,41.74520547945205,2022-11-30,7,0,0,78008.16646653262,1.3097562082535068,2022-12-09-20-33-47,1.092862959736412,0.0,2022-12-02,0.19172631677936564,2,0.0,11109,3,19,1981-03-13,AAPL
6393e37ebe0915624e51c56f,1411.7821640405139,1.1908867640166616,41.515068493150686,2022-11-09,7,5,0,3757.486353501629,1.2193007467813617,2022-12-09-20-37-10,1.023859516809864,0.45782437920570374,2022-11-23,13.142315471808905,10,0.53049635887146,11200,3,19,1981-05-15,AAPL
6393e478be0915624e51c5ee,1411.7821640405139,1.1908867640166616,41.515068493150686,2022-11-09,7,5,0,1512.1127464589415,1.1928578064486997,2022-12-09-20-40-19,1.001655104827423,0.0,2022-11-23,13.142315471808905,10,0.8773927092552185,11201,3,19,1981-05-15,AAPL
6393e597be0915624e51c67f,1411.7820539347326,1.1908867617794494,41.515068493150686,2022-11-09,7,5,0,11887.146152473728,1.2536000473362146,2022-12-09-20-45-09,1.0526609981481847,0.2821997106075287,2022-11-23,13.142315473578861,10,0.0,11202,3,19,1981-05-15,AAPL
6393e6abbe0915624e51c70b,1411.7818337232213,1.1908867573050257,41.515068493150686,2022-11-09,7,5,0,1074.3422050078134,1.1830771619523694,2022-12-09-20-49-53,0.9934422015319665,0.9495888948440552,2022-11-23,13.142315471814433,10,1.0,11203,3,19,1981-05-15,AAPL
6393e77bbe0915624e51c777,1411.7820539347326,1.1908867617794494,41.515068493150686,2022-11-09,7,5,0,15451.97279731889,1.261544964771889,2022-12-09-20-53-56,1.0593324279521426,0.0,2022-11-23,13.142315473571458,10,0.0,11204,3,19,1981-05-15,AAPL
6393e84abe0915624e51c7e2,1411.7821640405139,1.1908867640166616,41.515068493150686,2022-11-09,7,5,0,20268.841841321726,1.2698176004438635,2022-12-09-20-57-22,1.0662790441645194,1.2158750295639038,2022-11-23,13.142315471808903,10,0.0,11205,3,19,1981-05-15,AAPL
6393e901be0915624e51c840,1411.781613511779,1.1908867528306029,41.515068493150686,2022-11-09,7,5,0,4696.009365867763,1.225866799465673,2022-12-09-21-00-57,1.0293731091994487,0.0,2022-11-23,13.142315473573237,10,0.0,11206,3,19,1981-05-15,AAPL
6393e9e8be0915624e51c8b6,1411.7821640405139,1.1908867640166616,41.515068493150686,2022-11-09,7,5,0,952.1834525622496,1.1796423304388246,2022-12-09-21-03-59,0.9905579321917128,0.0,2022-11-23,13.142315471813923,10,0.0,11207,3,19,1981-05-15,AAPL
6393eac7be0915624e51c928,1411.7826044638111,1.1908867729655117,41.515068493150686,2022-11-09,7,5,0,8234.402075123124,1.2425627594904116,2022-12-09-21-07-52,1.0433928629471783,0.0,2022-11-23,13.142315471814431,10,0.7374582290649414,11208,3,19,1981-05-15,AAPL
6393eb95be0915624e51c992,1411.7818337232213,1.1908867573050257,41.515068493150686,2022-11-09,7,5,0,8364.186417574438,1.2430309087745839,2022-12-09-21-11-36,1.0437859864925867,0.0,2022-11-23,13.142315471813912,10,0.0,11209,3,19,1981-05-15,AAPL
6393ec4abe0915624e51c9f0,1915.1676721298898,1.1984633595945946,41.74520547945205,2022-11-30,7,0,0.2,10620.744966912162,1.2486649624029798,2022-12-09-21-14-54,1.0418883083963175,0.6448120474815369,2022-12-02,0.19172631689699554,2,0.0,12100,3,19,1981-03-13,AAPL
6393ed12be0915624e51ca57,1915.167856739382,1.1984633623619527,41.74520547945205,2022-11-30,7,0,0.2,10625.437146989989,1.2486781743065203,2022-12-09-21-18-04,1.0418993300267463,0.7923297882080078,2022-12-02,0.19172631677936564,2,0.9882249236106873,12101,3,19,1981-03-13,AAPL
6393edd3be0915624e51cabb,1915.1676721298898,1.1984633595945946,41.74520547945205,2022-11-30,7,0,0.2,35072.7626782812,1.2849139947371766,2022-12-09-21-21-15,1.0721345666936581,0.0,2022-12-02,0.19172631677973534,2,0.0035662949085235596,12102,3,19,1981-03-13,AAPL
6393ee9bbe0915624e51cb22,1915.1676721298898,1.1984633595945946,41.74520547945205,2022-11-30,7,0,0.2,8837.502875804816,1.2431791566038046,2022-12-09-21-24-35,1.0373109420919937,1.050889015197754,2022-12-02,0.19172631677973484,2,0.0,12103,3,19,1981-03-13,AAPL
6393ef61be0915624e51cb88,1915.1684105680724,1.1984633706640286,41.74520547945205,2022-11-30,7,0,0.2,9882.985434270793,1.2465133484452608,2022-12-09-21-27-55,1.0400929882025591,1.6038416624069214,2022-12-02,0.1917263168974899,2,0.3793412744998932,12104,3,19,1981-03-13,AAPL
6393f023be0915624e51cbed,1915.167856739382,1.1984633623619527,41.74520547945205,2022-11-30,7,0,0.2,2880.2622058564393,1.2102362692133102,2022-12-09-21-31-12,1.0098233347977823,1.0092614889144897,2022-12-02,0.1917263168971147,2,0.0,12105,3,19,1981-03-13,AAPL
6393f0d6be0915624e51cc48,1915.1680413489098,1.198463365129311,41.74520547945205,2022-11-30,7,0,0.2,4793.587521722194,1.2250947030144872,2022-12-09-21-34-30,1.022221236510056,0.10587966442108154,2022-12-02,0.19172631677936564,2,0.25386813282966614,12106,3,19,1981-03-13,AAPL
6393f1b5be0915624e51ccba,1915.1673029110118,1.198463354059879,41.74520547945205,2022-11-30,7,0,0.2,2908.149265163196,1.2105156460296491,2022-12-09-21-37-42,1.0100564543162227,0.0,2022-12-02,0.19172631689699554,2,0.0,12107,3,19,1981-03-13,AAPL
6393f262be0915624e51cd15,1915.167487520433,1.1984633568272367,41.74520547945205,2022-11-30,7,0,0.2,53347.603402682675,1.2978882877856877,2022-12-09-21-40-58,1.082960342835733,0.0,2022-12-02,0.19172631689711434,2,0.0,12108,3,19,1981-03-13,AAPL
6393f316be0915624e51cd72,1915.1680413489098,1.198463365129311,41.74520547945205,2022-11-30,7,0,0.2,23670.550425815858,1.272868358849414,2022-12-09-21-43-46,1.0620836613658815,1.2405399084091187,2022-12-02,0.19172631677970006,2,0.918999195098877,12109,3,19,1981-03-13,AAPL
6393f3ccbe0915624e51cdd0,1411.7815034060834,1.1908867505933916,41.515068493150686,2022-11-09,7,5,0.2,29050.298706152447,1.2808750387329437,2022-12-09-21-47-06,1.0755641022076305,0.49588996171951294,2022-11-21,12.60584528682988,8,0.5585135221481323,12200,3,19,1981-05-15,AAPL
6393f45abe0915624e51ce1a,1411.7820539347326,1.1908867617794494,41.515068493150686,2022-11-09,7,5,0.2,22632.756324975282,1.2731962340665137,2022-12-09-21-49-54,1.0691161199609571,0.0,2022-11-21,12.60584528682943,8,0.7241464853286743,12201,3,19,1981-05-15,AAPL
6393f508be0915624e51ce73,1411.7821640405139,1.1908867640166616,41.515068493150686,2022-11-09,7,5,0.2,1566.6473966382346,1.193876257942639,2022-12-09-21-52-26,1.0025103091379521,0.11640429496765137,2022-11-21,12.605845288367817,8,1.0,12202,3,19,1981-05-15,AAPL
