"2009-12-09","500000","1399614.745483"
"2009-12-23","489431.559848","1439499.0385470001"
"2010-01-12","389433.729848","1436851.627383"
"2010-01-13","378679.42235999997","1449088.9535219998"
"2010-03-10","368354.02223999996","1481404.3434519998"
"2010-04-14","355198.39911299996","1560165.3019499998"
"2010-04-15","255376.84021799994","1560850.175939"
"2010-07-14","247252.61522099993","1429909.8718339999"
"2010-08-04","236654.47505499993","1481992.6929669997"
"2010-09-21","257554.90255499992","1538260.7797969999"
"2010-10-20","267805.98255499994","1552031.926205"
"2010-11-23","189916.7675549999","1620257.758678"
"2011-01-25","201380.00734699992","1698668.4977929997"
"2011-01-26","187388.69903699993","1706884.916975"
"2011-03-30","170873.05922099992","1736269.496519"
"2011-04-27","157266.8590409999","1804650.1897919998"
"2011-05-25","172452.3786449999","1780046.094529"
"2011-06-08","181925.9586449999","1743960.8315290003"
"2011-08-02","81936.07616899989","1812698.2218459998"
"2011-08-31","69978.1092829999","1806457.570927"
"2011-10-12","60086.225986999896","1823847.7060469994"
"2011-11-02","45770.82638699989","1860701.044308"
"2011-11-30","39435.06632099989","1817880.3650929995"
"2012-01-11","24664.17632099989","1813242.0510850002"
"2012-02-07","43504.97693499989","1920394.4940009997"
"2012-02-22","60802.724150999886","1960028.143704"
"2012-03-07","72157.24415099989","1980581.3793969997"
"2012-04-18","54028.12452299989","2091026.7622639998"
"2012-07-19","34787.167022999885","2068443.0929500002"
"2012-08-23","43575.667022999885","2128436.600685"
"2012-09-06","35391.786950999885","2188934.4755869997"
"2012-10-18","17164.906202999886","2212711.4651189996"
"2012-10-25","36927.74664299989","2137723.548092"
"2013-01-23","57414.12303899989","2258645.477025"
"2013-02-19","67280.37303899988","2292939.911442"
"2013-05-01","45118.60599699988","2204077.581816"
"2013-09-26","77528.16599699989","2448140.681423"
"2013-12-04","91357.88577299989","2654919.852761"
"2014-01-23","110524.88628299988","2745133.724872"
"2014-02-04","10568.123138999887","2603379.287478"
"2014-05-15","22767.763138999886","2565001.4349389994"
"2014-05-29","13646.482981999887","2677681.6066010003"
"2014-06-12","31299.803287999886","2693403.1113779997"
"2014-10-16","68735.94406599988","2670750.159715"
"2014-10-23","32036.443365999883","2799227.4816199997"
"2015-01-20","34832.87430799988","2859870.0358959995"
"2015-02-03","13606.374307999882","3019748.769611"
"2015-02-17","51515.80360099988","3133765.156969"
"2015-05-05","11712.553600999883","3252361.3994779997"
"2015-05-26","27000.373600999883","3317785.470663"
"2015-06-09","76048.07283099988","3292784.334111"
"2015-07-07","101852.20315299988","3283232.346135"
"2015-07-23","1917.3995649998687","3419847.8426110004"
"2015-08-25","19875.52456499987","3101951.9332569996"
"2016-01-05","32226.91428099987","3559834.4472080003"
"2016-01-19","37926.34439999987","3328090.634154"
"2016-03-03","44599.49450699987","3368357.0560400006"
"2016-07-12","34547.614634999874","3754791.29738"
"2016-11-15","14467.714924999877","3775184.0970009994"
"2017-09-27","2419.074633999877","4821953.069753"
"2017-12-27","20582.52442099988","5317959.1098569995"
"2018-02-21","79763.74684299988","5867164.7655030005"
"2018-03-21","94402.88705499988","6032996.8033099985"
"2018-06-27","84689.00238399988","6340715.961777999"
"2018-09-06","32082.505757999897","7113099.166773"
"2018-11-08","1675.8540759999014","6699614.114496001"
"2019-05-29","57009.4156359999","6773761.928220001"
"2019-08-21","30469.77514069961","7019470.913296637"
"2019-11-13","21934.52525514053","7391664.656179366"
"2019-11-21","39889.76530641006","7448513.759752211"
