_id,buy_and_hold_gain,long,macd_gain,model_gain,short,signal,symbol,rl-bh,rl-macd,,
6451d7e3563f621c88a00a35,0.9817149,26,0.951134565,1.019170431,12,9,MTCH,1.038153165,1.071531272,2.057323597,1.058055009
64540c0b38564acf731aeb0b,1.053002086,26,1.003336636,1.05549896,12,9,IIPR,1.002371196,1.051988857,2.057870156,1.058001755
64512ee3e4c2dae93f0329b0,1.030364315,26,0.995448959,1.041827256,12,9,DECK,1.011125133,1.046590331,2.052952389,1.053417723
64527d1e563f621c88ba276a,1.010443656,26,0.951964502,1.031613363,12,9,CLH,1.020950903,1.083667889,2.052564266,1.053226594
6453be2a38564acf730c6006,1.011303171,7,0.956650324,1.031013445,3,19,REXR,1.019489976,1.077732813,2.050503421,1.051107872
6450faaae4c2dae93ff21bdb,1.040222955,26,0.995800193,1.044909966,12,9,LIN,1.004505775,1.049316894,2.049415741,1.049618095
64505ddfe4c2dae93fc56948,1.042191077,7,1.004871148,1.045740702,3,19,AZO,1.003405925,1.040671437,2.049146627,1.049302417
645596f638564acf735b8ce2,1.114143484,13,1.016358084,1.081024019,6,9,TNET,0.970273609,1.063625149,2.051297628,1.048889076
64509918e4c2dae93fd7a9dc,0.958461121,13,0.926579872,1.00236383,6,9,BKNG,1.045805414,1.08178891,2.048169244,1.048277521
6453101f38564acf73f19a74,1.009987008,13,1.000039061,1.028157826,6,9,FANG,1.017991141,1.028117667,2.046148966,1.046655558
6451216ee4c2dae93ffe188d,0.948921696,26,0.958770573,0.996314884,12,9,ETSY,1.049944256,1.039158806,2.046259141,1.04607509
6453f35b38564acf73166d48,0.97772113,26,0.995803017,1.011159999,12,9,ATKR,1.034200824,1.015421707,2.045360823,1.045742504
644f85a4e4c2dae93f795a1c,1.033092599,26,0.968510512,1.038942958,12,9,AAPL,1.005662957,1.072722438,2.044605916,1.044826448
644fdc75e4c2dae93f979d69,1.075283836,26,1.038000803,1.059895923,12,9,ELV,0.98568944,1.021093548,2.045585363,1.044728219
645111a7e4c2dae93ff77001,1.001513892,26,0.931402892,1.022443405,12,9,PCTY,1.020897877,1.097745577,2.043341282,1.043810302
644e3175e4c2dae93f19ac32,1.016061855,26,0.998761982,1.029147451,12,9,SPY,1.012878739,1.030423134,2.04202619,1.042401573
