Date,Open,High,Low,Close,Volume
2023-04-24 10:21:38.591000-04:00,,,,162.5208,30
2023-04-24 10:22:38.142000-04:00,,,,162.43,42
2023-04-24 10:23:37.864000-04:00,,,,162.43,1
2023-04-24 10:24:37.926000-04:00,,,,162.3895,19
2023-04-24 10:25:38.013000-04:00,,,,162.3386,308
2023-04-24 10:26:37.914000-04:00,,,,162.07,31
2023-04-24 10:27:39.049000-04:00,,,,161.96,1
2023-04-24 10:28:38.470000-04:00,,,,161.82,1
2023-04-24 10:29:37.815000-04:00,,,,162.0,1
2023-04-24 10:30:37.654000-04:00,,,,161.9053,100
2023-04-24 10:31:37.348000-04:00,,,,161.26,2
2023-04-24 10:33:28.498000-04:00,,,,160.7,42
2023-04-24 10:34:28.044000-04:00,,,,160.2416,100
2023-04-24 10:35:28.532000-04:00,,,,160.13,133
2023-04-24 10:36:28.338000-04:00,,,,159.38,1
2023-04-24 10:37:29.104000-04:00,,,,159.4399,1
2023-04-24 10:38:28.282000-04:00,,,,159.0089,1
2023-04-24 10:39:27.547000-04:00,,,,159.34,14
2023-04-24 10:40:26.547000-04:00,,,,159.8115,50
2023-04-24 10:41:26.556000-04:00,,,,159.545,1
2023-04-24 10:42:26.415000-04:00,,,,159.21,22
2023-04-24 10:43:26.207000-04:00,,,,158.91,15
2023-04-24 10:44:26.470000-04:00,,,,159.19,1
2023-04-24 10:45:26.215000-04:00,,,,159.22,391
2023-04-24 10:46:25.798000-04:00,,,,159.0808,2
2023-04-24 10:47:26.846000-04:00,,,,159.44,100
2023-04-24 10:48:26.234000-04:00,,,,159.7481,5
2023-04-24 10:49:26.043000-04:00,,,,159.57,1
2023-04-24 10:50:25.844000-04:00,,,,159.8234,1
2023-04-24 10:51:25.288000-04:00,,,,160.09,18
2023-04-24 10:52:26.202000-04:00,,,,159.8566,99
2023-04-24 10:53:26.372000-04:00,,,,159.89,10
2023-04-24 10:54:26.925000-04:00,,,,159.8993,13
2023-04-24 10:55:26.205000-04:00,,,,159.5465,31
2023-04-24 10:56:25.435000-04:00,,,,159.67,5
2023-04-24 10:57:25.138000-04:00,,,,159.91,10
2023-04-24 10:58:24.236000-04:00,,,,160.29,22
2023-04-24 10:59:24.115000-04:00,,,,160.0384,2
2023-04-24 11:00:25.030000-04:00,,,,160.285,1
2023-04-24 11:01:24.388000-04:00,,,,160.2688,1
2023-04-24 11:02:23.475000-04:00,,,,159.83,19
2023-04-24 11:06:22.031000-04:00,,,,159.67,1
2023-04-24 11:07:22.837000-04:00,,,,160.12,30
2023-04-24 11:08:22.140000-04:00,,,,159.94,1
2023-04-24 11:09:22.011000-04:00,,,,159.9085,1
2023-04-24 11:10:21.031000-04:00,,,,159.66,76
2023-04-24 11:11:20.757000-04:00,,,,160.0756,95
