Date,Open,High,Low,Close,Volume
2023-05-12 04:00:00.053000-04:00,,,,175.25,9
2023-05-12 04:00:12.357000-04:00,,,,174.24,49
2023-05-12 04:00:21.963000-04:00,,,,174.33,39
2023-05-12 04:00:32.118000-04:00,,,,174.65,57
2023-05-12 04:00:44.295000-04:00,,,,174.53,1
2023-05-12 04:00:53.805000-04:00,,,,174.52,100
2023-05-12 04:01:04.735000-04:00,,,,174.55,6
2023-05-12 04:01:19.403000-04:00,,,,174.64,50
2023-05-12 04:01:30.826000-04:00,,,,174.64,26
2023-05-12 04:01:41.151000-04:00,,,,174.48,20
2023-05-12 04:01:51.805000-04:00,,,,174.44,2
2023-05-12 04:02:03.365000-04:00,,,,174.39,2
2023-05-12 04:02:14.744000-04:00,,,,174.25,10
2023-05-12 04:02:25.350000-04:00,,,,174.17,13
2023-05-12 04:02:36.047000-04:00,,,,174.11,100
2023-05-12 04:02:46.057000-04:00,,,,174.06,25
2023-05-12 04:02:56.270000-04:00,,,,174.06,25
2023-05-12 04:03:06.312000-04:00,,,,174.0,138
2023-05-12 04:03:16.541000-04:00,,,,173.92,1
2023-05-12 04:03:27.426000-04:00,,,,173.9,50
2023-05-12 04:03:40.417000-04:00,,,,173.87,43
2023-05-12 04:03:49.923000-04:00,,,,173.9,36
2023-05-12 04:04:02.905000-04:00,,,,173.9,10
2023-05-12 04:04:14.196000-04:00,,,,173.94,12
2023-05-12 04:04:24.838000-04:00,,,,173.86,54
2023-05-12 04:04:34.869000-04:00,,,,173.89,10
2023-05-12 04:04:45.020000-04:00,,,,173.9,22
2023-05-12 04:04:57.951000-04:00,,,,173.91,50
2023-05-12 04:05:09.277000-04:00,,,,173.89,20
2023-05-12 04:05:24.838000-04:00,,,,173.92,167
2023-05-12 04:05:35.813000-04:00,,,,173.94,8
2023-05-12 04:05:46.317000-04:00,,,,173.95,50
2023-05-12 04:05:56.862000-04:00,,,,174.0,40
2023-05-12 04:06:07.071000-04:00,,,,174.1,50
2023-05-12 04:06:18.458000-04:00,,,,174.08,10
2023-05-12 04:06:30.527000-04:00,,,,174.09,9
2023-05-12 04:06:42.437000-04:00,,,,174.19,1
2023-05-12 04:06:52.529000-04:00,,,,174.18,5
2023-05-12 04:07:04.543000-04:00,,,,174.19,105
2023-05-12 04:07:14.827000-04:00,,,,174.2,1
2023-05-12 04:07:25.303000-04:00,,,,174.15,10
2023-05-12 04:07:35.677000-04:00,,,,174.13,5
2023-05-12 04:07:45.360000-04:00,,,,174.15,500
2023-05-12 04:07:55.029000-04:00,,,,174.14,21
2023-05-12 04:08:05.082000-04:00,,,,174.03,3
2023-05-12 04:08:19.031000-04:00,,,,174.06,1
2023-05-12 04:08:32.129000-04:00,,,,174.07,12
2023-05-12 04:08:42.491000-04:00,,,,174.01,2
2023-05-12 04:08:53.858000-04:00,,,,174.01,12
2023-05-12 04:09:07.560000-04:00,,,,174.07,37
2023-05-12 04:09:17.678000-04:00,,,,174.07,3
2023-05-12 04:09:31.472000-04:00,,,,174.07,6
2023-05-12 04:09:44.744000-04:00,,,,174.06,14
2023-05-12 04:09:54.356000-04:00,,,,174.11,50
2023-05-12 04:10:06.489000-04:00,,,,174.15,5
2023-05-12 04:10:16.461000-04:00,,,,174.14,2
2023-05-12 04:10:26.989000-04:00,,,,174.16,1
2023-05-12 04:10:38.019000-04:00,,,,174.16,100
2023-05-12 04:10:48.316000-04:00,,,,174.15,2
2023-05-12 04:11:09.406000-04:00,,,,174.14,20
2023-05-12 04:11:18.989000-04:00,,,,174.07,10
2023-05-12 04:11:29.957000-04:00,,,,174.09,25
2023-05-12 04:11:39.473000-04:00,,,,174.08,6
2023-05-12 04:11:49.029000-04:00,,,,174.1,2
2023-05-12 04:12:06.211000-04:00,,,,174.14,223
2023-05-12 04:12:15.812000-04:00,,,,174.09,1
2023-05-12 04:12:26.996000-04:00,,,,174.13,53
2023-05-12 04:12:39.937000-04:00,,,,174.15,67
2023-05-12 04:12:50.341000-04:00,,,,174.27,81
2023-05-12 04:13:03.201000-04:00,,,,174.3,23
2023-05-12 04:13:15.835000-04:00,,,,174.3,5
2023-05-12 04:13:25.484000-04:00,,,,174.38,1
2023-05-12 04:13:36.008000-04:00,,,,174.34,6
2023-05-12 04:13:49.008000-04:00,,,,174.38,100
2023-05-12 04:13:59.971000-04:00,,,,174.38,12
2023-05-12 04:14:10.341000-04:00,,,,174.37,25
2023-05-12 04:14:21.583000-04:00,,,,174.36,10
2023-05-12 04:14:31.677000-04:00,,,,174.33,37
2023-05-12 04:14:46.146000-04:00,,,,174.34,21
2023-05-12 04:14:57.982000-04:00,,,,174.32,5
2023-05-12 04:15:08.933000-04:00,,,,174.3,1
2023-05-12 04:15:22.465000-04:00,,,,174.34,9
2023-05-12 04:15:32.181000-04:00,,,,174.3,29
2023-05-12 04:15:44.235000-04:00,,,,174.34,11
2023-05-12 04:15:55.363000-04:00,,,,174.3,2
2023-05-12 04:16:06.039000-04:00,,,,174.31,1
2023-05-12 04:16:16.502000-04:00,,,,174.26,28
2023-05-12 04:16:28.293000-04:00,,,,174.3,1
2023-05-12 04:16:38.136000-04:00,,,,174.28,1
2023-05-12 04:16:48.111000-04:00,,,,174.32,20
2023-05-12 04:17:01.493000-04:00,,,,174.36,20
2023-05-12 04:17:11.172000-04:00,,,,174.38,1
2023-05-12 04:17:23.171000-04:00,,,,174.26,200
2023-05-12 04:17:36.572000-04:00,,,,174.15,3
2023-05-12 04:17:47.649000-04:00,,,,174.26,7
2023-05-12 04:17:59.449000-04:00,,,,174.3,50
