Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-04-12 09:30:00-04:00,190.74000549316406,191.35000610351562,190.35000610351562,190.5800018310547,6937918,0.0,0.0
2023-04-12 09:31:00-04:00,190.639892578125,191.5845947265625,190.52000427246094,190.61000061035156,1131335,0.0,0.0
2023-04-12 09:32:00-04:00,190.6199951171875,191.4698944091797,190.57000732421875,190.60459899902344,751280,0.0,0.0
2023-04-12 09:33:00-04:00,190.64559936523438,191.1898956298828,190.25,190.33999633789062,822763,0.0,0.0
2023-04-12 09:34:00-04:00,190.30999755859375,190.39999389648438,189.60000610351562,189.7899932861328,1147093,0.0,0.0
2023-04-12 09:35:00-04:00,189.7675018310547,190.0,189.39999389648438,189.58999633789062,758131,0.0,0.0
2023-04-12 09:36:00-04:00,189.59519958496094,190.0399932861328,189.54010009765625,189.98500061035156,644104,0.0,0.0
2023-04-12 09:37:00-04:00,190.0,190.25,189.67999267578125,189.7924041748047,603770,0.0,0.0
2023-04-12 09:38:00-04:00,189.8699951171875,190.10000610351562,189.64999389648438,189.86500549316406,547691,0.0,0.0
2023-04-12 09:39:00-04:00,189.88999938964844,189.88999938964844,189.22999572753906,189.5500030517578,681189,0.0,0.0
2023-04-12 09:40:00-04:00,189.55990600585938,190.0500030517578,189.35000610351562,189.3699951171875,563427,0.0,0.0
2023-04-12 09:41:00-04:00,189.35000610351562,189.73989868164062,189.05999755859375,189.24000549316406,624073,0.0,0.0
2023-04-12 09:42:00-04:00,189.2404022216797,189.7100067138672,189.14999389648438,189.35000610351562,577007,0.0,0.0
2023-04-12 09:43:00-04:00,189.30999755859375,189.5800018310547,188.41000366210938,188.75,888634,0.0,0.0
2023-04-12 09:44:00-04:00,188.75999450683594,188.88999938964844,188.4499969482422,188.88999938964844,521487,0.0,0.0
2023-04-12 09:45:00-04:00,188.89999389648438,189.07000732421875,188.7100067138672,188.82000732421875,474452,0.0,0.0
2023-04-12 09:46:00-04:00,188.82000732421875,188.86990356445312,187.97999572753906,188.2698974609375,768639,0.0,0.0
2023-04-12 09:47:00-04:00,188.25,188.30999755859375,187.5,187.71499633789062,852318,0.0,0.0
2023-04-12 09:48:00-04:00,187.71499633789062,188.0,187.6300048828125,187.71499633789062,634420,0.0,0.0
2023-04-12 09:49:00-04:00,187.6999969482422,188.0,187.5,187.87440490722656,684328,0.0,0.0
2023-04-12 09:50:00-04:00,187.83999633789062,188.3000030517578,187.61000061035156,188.2595977783203,749104,0.0,0.0
2023-04-12 09:51:00-04:00,188.2436065673828,188.3300018310547,187.97450256347656,188.1199951171875,545934,0.0,0.0
2023-04-12 09:52:00-04:00,188.14999389648438,188.22500610351562,187.75999450683594,187.87989807128906,462347,0.0,0.0
2023-04-12 09:53:00-04:00,187.85000610351562,187.8800048828125,187.27000427246094,187.37989807128906,756678,0.0,0.0
2023-04-12 09:54:00-04:00,187.36500549316406,188.07000732421875,187.36500549316406,187.89999389648438,509316,0.0,0.0
2023-04-12 09:55:00-04:00,187.89450073242188,188.22999572753906,187.8300018310547,187.87989807128906,572890,0.0,0.0
2023-04-12 09:56:00-04:00,187.875,188.1999969482422,187.7100067138672,188.06430053710938,432216,0.0,0.0
2023-04-12 09:57:00-04:00,188.0850067138672,188.11000061035156,187.72500610351562,188.08999633789062,307760,0.0,0.0
2023-04-12 09:58:00-04:00,188.07470703125,188.25,187.83999633789062,187.85000610351562,380086,0.0,0.0
2023-04-12 09:59:00-04:00,187.85009765625,187.97999572753906,187.6300048828125,187.8144989013672,339270,0.0,0.0
2023-04-12 10:00:00-04:00,187.8000030517578,187.92999267578125,186.89999389648438,187.0,911169,0.0,0.0
2023-04-12 10:01:00-04:00,186.99630737304688,187.3300018310547,186.85000610351562,187.2996063232422,611241,0.0,0.0
2023-04-12 10:02:00-04:00,187.29769897460938,187.75999450683594,187.2899932861328,187.67999267578125,529355,0.0,0.0
2023-04-12 10:03:00-04:00,187.67999267578125,188.0299072265625,187.6199951171875,187.92999267578125,474313,0.0,0.0
2023-04-12 10:04:00-04:00,187.92999267578125,188.14999389648438,187.85000610351562,188.1324005126953,474841,0.0,0.0
2023-04-12 10:05:00-04:00,188.14999389648438,188.4636993408203,187.8000030517578,188.2899932861328,620803,0.0,0.0
2023-04-12 10:06:00-04:00,188.29150390625,188.5399932861328,188.24000549316406,188.51100158691406,562523,0.0,0.0
2023-04-12 10:07:00-04:00,188.50999450683594,188.61000061035156,188.32000732421875,188.52999877929688,381416,0.0,0.0
2023-04-12 10:08:00-04:00,188.53819274902344,188.55999755859375,188.17999267578125,188.2100067138672,365624,0.0,0.0
2023-04-12 10:09:00-04:00,188.201904296875,188.39990234375,187.8800048828125,187.93499755859375,365334,0.0,0.0
2023-04-12 10:10:00-04:00,187.9499969482422,188.3282928466797,187.89999389648438,188.26010131835938,375744,0.0,0.0
2023-04-12 10:11:00-04:00,188.28500366210938,188.5500030517578,188.24029541015625,188.39999389648438,395946,0.0,0.0
2023-04-12 10:12:00-04:00,188.3957977294922,188.4219970703125,188.05999755859375,188.34500122070312,313126,0.0,0.0
2023-04-12 10:13:00-04:00,188.33999633789062,188.44000244140625,188.1300048828125,188.3249969482422,273831,0.0,0.0
2023-04-12 10:14:00-04:00,188.33990478515625,188.35000610351562,188.03359985351562,188.0749053955078,269183,0.0,0.0
2023-04-12 10:15:00-04:00,188.05999755859375,188.55999755859375,187.9499969482422,188.30999755859375,406674,0.0,0.0
2023-04-12 10:16:00-04:00,188.35000610351562,188.4499969482422,188.00999450683594,188.03359985351562,321241,0.0,0.0
2023-04-12 10:17:00-04:00,188.04840087890625,188.15989685058594,187.56100463867188,187.56100463867188,566186,0.0,0.0
2023-04-12 10:18:00-04:00,187.58999633789062,187.61000061035156,187.11000061035156,187.11000061035156,528532,0.0,0.0
2023-04-12 10:19:00-04:00,187.13999938964844,187.35000610351562,187.02000427246094,187.3300018310547,429435,0.0,0.0
2023-04-12 10:20:00-04:00,187.31629943847656,187.64999389648438,187.30459594726562,187.50999450683594,467549,0.0,0.0
2023-04-12 10:21:00-04:00,187.5175018310547,187.8800048828125,187.50999450683594,187.8300018310547,406835,0.0,0.0
2023-04-12 10:22:00-04:00,187.86000061035156,188.0,187.72999572753906,187.83999633789062,307716,0.0,0.0
2023-04-12 10:23:00-04:00,187.85000610351562,187.8699951171875,187.52999877929688,187.70010375976562,349479,0.0,0.0
2023-04-12 10:24:00-04:00,187.72000122070312,187.99000549316406,187.69000244140625,187.75,304741,0.0,0.0
2023-04-12 10:25:00-04:00,187.72000122070312,187.72000122070312,187.22000122070312,187.33580017089844,448634,0.0,0.0
2023-04-12 10:26:00-04:00,187.3000030517578,187.36000061035156,187.1300048828125,187.22999572753906,367377,0.0,0.0
2023-04-12 10:27:00-04:00,187.23440551757812,187.55999755859375,187.2100067138672,187.3903045654297,283473,0.0,0.0
