Date,Open,High,Low,Close,Volume
2023-05-17 04:00:00.088000-04:00,,,,168.66,5
2023-05-17 04:00:14.690000-04:00,,,,168.79,50
2023-05-17 04:00:26.957000-04:00,,,,168.91,70
2023-05-17 04:00:37.829000-04:00,,,,168.9,99
2023-05-17 04:00:50.054000-04:00,,,,168.94,2
2023-05-17 04:01:02.217000-04:00,,,,169.13,40
2023-05-17 04:01:12.302000-04:00,,,,169.3,50
2023-05-17 04:01:22.247000-04:00,,,,169.08,3
2023-05-17 04:01:32.683000-04:00,,,,169.01,50
2023-05-17 04:01:44.504000-04:00,,,,168.77,35
2023-05-17 04:01:54.468000-04:00,,,,168.8,100
2023-05-17 04:02:06.152000-04:00,,,,168.86,30
2023-05-17 04:02:15.930000-04:00,,,,169.0,1
2023-05-17 04:02:26.650000-04:00,,,,168.93,1
2023-05-17 04:02:36.867000-04:00,,,,169.01,5
2023-05-17 04:02:48.612000-04:00,,,,169.0,2
2023-05-17 04:02:58.732000-04:00,,,,168.98,5
2023-05-17 04:03:09.927000-04:00,,,,168.97,10
2023-05-17 04:03:22.340000-04:00,,,,168.97,8
2023-05-17 04:03:38.163000-04:00,,,,168.89,1
2023-05-17 04:03:49.997000-04:00,,,,168.84,1
2023-05-17 04:04:03.939000-04:00,,,,168.89,1
2023-05-17 04:04:17.682000-04:00,,,,168.84,5
2023-05-17 04:04:27.538000-04:00,,,,168.75,4
2023-05-17 04:04:38.272000-04:00,,,,168.96,5
2023-05-17 04:04:54.599000-04:00,,,,168.97,9
2023-05-17 04:05:08.730000-04:00,,,,168.93,2
2023-05-17 04:05:19.094000-04:00,,,,168.85,20
2023-05-17 04:05:30.444000-04:00,,,,168.88,5
2023-05-17 04:05:50.466000-04:00,,,,168.88,9
2023-05-17 04:06:07.092000-04:00,,,,168.89,1
2023-05-17 04:06:21.128000-04:00,,,,168.96,1
2023-05-17 04:06:31.886000-04:00,,,,168.99,67
2023-05-17 04:06:54.125000-04:00,,,,168.96,50
2023-05-17 04:07:05.696000-04:00,,,,168.96,1
2023-05-17 04:07:17.746000-04:00,,,,168.97,5
2023-05-17 04:07:29.142000-04:00,,,,168.96,31
2023-05-17 04:07:40.018000-04:00,,,,169.01,1
2023-05-17 04:07:54.199000-04:00,,,,169.06,10
2023-05-17 04:08:05.349000-04:00,,,,169.04,21
2023-05-17 04:08:15.001000-04:00,,,,169.02,50
2023-05-17 04:08:33.453000-04:00,,,,168.91,60
2023-05-17 04:08:52.703000-04:00,,,,168.97,13
2023-05-17 04:09:03.529000-04:00,,,,168.82,60
2023-05-17 04:09:18.300000-04:00,,,,168.97,1
2023-05-17 04:09:29.471000-04:00,,,,168.95,81
2023-05-17 04:09:48.389000-04:00,,,,168.77,50
2023-05-17 04:10:00.775000-04:00,,,,168.75,99
2023-05-17 04:10:12.042000-04:00,,,,168.88,80
2023-05-17 04:10:26.595000-04:00,,,,168.83,1
2023-05-17 04:10:40.493000-04:00,,,,168.85,10
2023-05-17 04:10:51.491000-04:00,,,,168.75,30
2023-05-17 04:11:09.154000-04:00,,,,168.77,1
2023-05-17 04:11:23.748000-04:00,,,,168.77,1
2023-05-17 04:11:33.899000-04:00,,,,168.72,5
2023-05-17 04:11:52.366000-04:00,,,,168.72,10
