Close,Date,Volume
Close,Date,Volume
164.0601,2023-03-31 14:15:37.580000-04:00,5
164.0615,2023-03-31 14:15:38.049000-04:00,10
164.06,2023-03-31 14:15:38.064000-04:00,142
164.065,2023-03-31 14:15:38.064000-04:00,35
164.06,2023-03-31 14:15:38.064000-04:00,100
164.06,2023-03-31 14:15:38.064000-04:00,4
164.06,2023-03-31 14:15:38.064000-04:00,4
164.06,2023-03-31 14:15:38.064000-04:00,15
164.0601,2023-03-31 14:15:38.276000-04:00,26
164.0615,2023-03-31 14:15:38.295000-04:00,1
